Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1605.0204020218919	-1553.3385682436644	-51.68183377822732	657.6944603666379	40673.85006547573	0.3898617703829566	2.901269922187013	31.311402417721105	-1553.3385682436644
1000	-1594.9347903348335	-1545.5358178945394	-49.39897244029409	397.833599447467	26717.790688807905	0.3898617703829566	2.8024031477086804	31.180432978477775	-1545.5358178945394
2000	-1595.8494685600317	-1548.3613740046742	-47.48809455535761	297.2038234171618	13618.164214451526	0.3898617703829566	2.8024031477086804	32.28158467649405	-1548.3613740046742
3000	-1598.130062136559	-1552.2203727591013	-45.90968937745774	261.8719396497937	13618.164214451526	0.3898617703829566	2.799441431087672	30.287108672228193	-1552.2203727591013
4000	-1591.628907884934	-1545.7944073814194	-45.83450050351465	209.1228624710168	25299.359286861538	0.3898617703829566	2.395876078930756	25.96432551501429	-1545.7944073814194
5000	-1589.1695578668382	-1543.1635601868857	-46.00599767995253	233.51501015957396	19995.7673742324	0.3898617703829566	2.519330967711867	26.780015282883834	-1543.1635601868857
6000	-1592.3580038498205	-1546.8222497825889	-45.53575406723156	203.74319307913086	26519.191364393697	0.3898617703829566	2.24194029772599	24.75691116792559	-1546.8222497825889
7000	-1591.9233062421492	-1545.1893586448457	-46.73394759730357	203.74319307913086	20096.915632996865	0.3898617703829566	2.518471350573576	26.500381272538846	-1545.1893586448457
8000	-1594.7672201843025	-1547.632283002289	-47.13493718201369	313.1279648222316	34518.47298404105	0.3898617703829566	2.502798001612568	27.536254764102825	-1547.632283002289
9000	-1595.0437324109434	-1548.5454843422847	-46.49824806865872	384.9528827160865	25414.780555277684	0.3898617703829566	2.69327263058835	29.90186418285483	-1548.5454843422847
10000	-1594.8754465688526	-1550.9407676012836	-43.93467896756886	334.0237126880804	42671.828977497345	0.3898617703829566	2.4580256095717457	28.71523577542647	-1550.9407676012836
11000	-1598.99544716297	-1551.0126444417563	-47.982802721213744	334.0237126880804	28072.22341103647	0.3898617703829566	2.6071938358920765	27.63247219779385	-1551.0126444417563
12000	-1595.04344481337	-1545.728083230191	-49.31536158317886	312.2775800059483	21458.048153180876	0.3898617703829566	2.706771013264115	28.703750860653862	-1545.728083230191
13000	-1590.6021618069412	-1543.3719390272374	-47.23022277970381	441.59588853184533	40166.728738597034	0.3898617703829566	2.4953944252601925	29.07861749500295	-1543.3719390272374
14000	-1596.4855558302213	-1551.615751158881	-44.86980467134018	327.26583611814243	17973.81883324348	0.3898617703829566	2.598225656194251	30.800440058617035	-1551.615751158881
15000	-1593.197250300115	-1547.998841294768	-45.1984090053471	333.03228731876715	24874.254137334356	0.3898617703829566	2.451294237712185	28.923456118569195	-1547.998841294768
16000	-1595.6214820629446	-1548.222001978061	-47.39948008488366	126.32344386788256	9670.773106437522	0.3898617703829566	2.4278796625200605	27.297756635359917	-1548.222001978061
17000	-1598.9023369929891	-1547.338956063297	-51.56338092969217	381.8491408396934	52397.4728107958	0.36078427699778176	2.5316491405595563	28.015885864407146	-1547.338956063297
18000	-1590.76477495299	-1544.2770469624547	-46.48772799053522	277.6091846192844	22191.973116929235	0.42292249172906593	2.2444897388789755	24.109474742834482	-1544.2770469624547
19000	-1594.4467485245143	-1547.0271598338384	-47.41958869067602	286.6711396681004	27718.827687663386	0.39998634527095545	2.6012807327237724	26.5476469837705	-1547.0271598338384
20000	-1594.1289551910063	-1545.9462726522493	-48.18268253875712	420.13947328490525	42121.26285120267	0.4344547812514212	2.487224896125008	27.636316982081148	-1545.9462726522493
21000	-1593.2134895434924	-1545.4996409955725	-47.7138485479199	231.76324294730642	25366.939714578515	0.4344547812514212	2.3574230867588146	25.42867552171861	-1545.4996409955725
22000	-1596.0362432362886	-1549.119008398719	-46.91723483756953	285.55490038722894	19014.80441031908	0.3971756441448242	2.474044501611043	27.64333248472609	-1549.119008398719
23000	-1594.3565814405235	-1548.4494869274108	-45.90709451311279	218.80363746990736	13310.787272202791	0.4058378601674281	2.5450539686671756	27.16037453221641	-1548.4494869274108
24000	-1592.0748857675273	-1547.2554959729648	-44.819389794562596	310.54531576898194	32501.468229499835	0.4058378601674281	2.3484654590514062	26.746056385510276	-1547.2554959729648
25000	-1592.1322863136797	-1546.1259618088673	-46.006324504812476	146.88651065225451	15842.44799334275	0.3877800627536693	2.242337609002092	25.45582168844526	-1546.1259618088673
26000	-1595.459637380122	-1547.0597341292182	-48.39990325090392	510.1485903765349	52148.854961005156	0.4548801320631838	2.2223505109502435	25.379338672184314	-1547.0597341292182
27000	-1599.050879414321	-1547.3124495964914	-51.73842981782951	493.10433791775233	68698.30199322628	0.39396994643942557	2.5268595927593043	29.094043634823347	-1547.3124495964914
28000	-1592.1287932621638	-1548.5224414650752	-43.60635179708857	291.77923946094955	61617.095487378305	0.4357529563318453	2.0011248910777533	23.727602210350245	-1548.5224414650752
29000	-1590.300649362083	-1545.267766972712	-45.03288238937094	356.7969105316924	27659.25798871894	0.4334578645345281	2.50939237219038	28.1386808189337	-1545.267766972712
30000	-1597.2440127078341	-1544.9353941924232	-52.308618515410885	412.1536684496976	48520.636569437294	0.4003893188270884	2.6772413442896634	26.55173374184377	-1544.9353941924232
31000	-1590.6714721679614	-1545.6947594531514	-44.9767127148099	443.6985971243521	27309.41249892481	0.4202590181911314	2.5289933276229584	29.57569735809161	-1545.6947594531514
32000	-1589.20461850761	-1543.6150627064605	-45.589555801149444	217.7101631964488	22864.843181323628	0.4202590181911314	2.206131476318303	25.892574082397367	-1543.6150627064605
