Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1958.5485516626818	-1914.5971219141306	-43.951429748551085	491.68992260504194	24524.80111827827	0.38344783197586435	2.8922496336723635	37.105733720895394	-1914.5971219141306
1000	-1965.801069655768	-1920.796071476909	-45.00499817885911	334.7348489234109	10218.359049910418	0.38344783197586435	3.0098322140932026	35.605115341069535	-1920.796071476909
2000	-1960.1664955061888	-1918.506596821846	-41.65989868434279	373.12023244148213	17830.318464009535	0.38344783197586435	2.742512219256642	36.388579439871265	-1918.506596821846
3000	-1961.047305206848	-1918.3240830906793	-42.72322211616877	431.723967218705	16890.10002029577	0.38344783197586435	3.114986603014067	37.0223288749563	-1918.3240830906793
4000	-1961.1075451982217	-1916.795735184466	-44.31181001375571	448.24363623503257	12598.550313511301	0.38344783197586435	3.01120908310605	38.26395905777252	-1916.795735184466
5000	-1959.1707404022588	-1914.7253336115346	-44.44540679072423	350.1556429350288	9421.540674657037	0.38344783197586435	2.9394888475357375	38.01567359829584	-1914.7253336115346
6000	-1961.6768158983696	-1918.5123406648381	-43.16447523353134	408.60091399293424	15730.912386596643	0.39702626355566023	2.9889530739602277	38.20068313381676	-1918.5123406648381
7000	-1967.2461741869902	-1924.675948754948	-42.570225432042236	408.60091399293424	12637.322090972462	0.39702626355566023	2.882506922415438	36.795386541144126	-1924.675948754948
8000	-1958.8900932105928	-1916.3405952768148	-42.5494979337779	408.60091399293424	8780.257736466068	0.39702626355566023	3.101650582616629	40.54958338140275	-1916.3405952768148
9000	-1956.289577284852	-1913.196509173456	-43.09306811139595	515.0099053742426	13820.49851813848	0.39702626355566023	2.9783495526406636	39.07560244188053	-1913.196509173456
10000	-1961.5802163973667	-1915.4062554184275	-46.1739609789393	531.6237484041316	13820.49851813848	0.39702626355566023	3.048606031177797	38.08404568741653	-1915.4062554184275
11000	-1960.0505898664621	-1916.3546797298113	-43.69591013665088	531.6237484041316	14915.044424011214	0.39702626355566023	3.1284173333201566	41.575421173743166	-1916.3546797298113
12000	-1963.7689824225245	-1921.517835757599	-42.251146664925564	531.6237484041316	14915.044424011214	0.39702626355566023	3.0014286896475086	39.90544237949199	-1921.517835757599
