Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1488.1921004401183	-1447.2196959509695	-40.972404489148914	241.80637492722605	43326.071788989255	0.4311462653802085	2.1561964674045258	24.107737976353867	-1447.2196959509695
1000	-1487.5265894512663	-1446.6268707506092	-40.89971870065714	139.93670398135274	26807.099849588543	0.4311462653802085	1.8513893639657584	22.619367648775956	-1446.6268707506092
2000	-1494.4777086783154	-1449.092859191134	-45.38484948718127	198.2389559209699	55853.586468565285	0.4311462653802085	2.108357697023094	23.227900415073826	-1449.092859191134
3000	-1492.94672477977	-1450.720623907461	-42.226100872309054	188.54725944612014	32220.21340299575	0.4311462653802085	2.069538634472942	23.604502646533437	-1450.720623907461
4000	-1488.869328466792	-1446.2536451841129	-42.61568328267918	188.54725944612014	30198.222186007246	0.4311462653802085	1.8428755095293112	22.028091605973636	-1446.2536451841129
5000	-1486.8683882117139	-1444.5311083679617	-42.33727984375219	188.54725944612014	36443.46304741493	0.4311462653802085	2.0090636033014246	22.218297954758352	-1444.5311083679617
6000	-1489.5677544189773	-1447.5928822422559	-41.97487217672151	188.54725944612014	33231.64429954958	0.4311462653802085	2.171199494784172	24.88710057417313	-1447.5928822422559
7000	-1497.0502197166409	-1454.3526636216	-42.697556095041016	200.8815009048837	21803.158563085984	0.4311462653802085	2.155102170455746	25.150676455578253	-1454.3526636216
8000	-1485.4551612688902	-1445.479187959699	-39.97597330919125	285.3885522367333	22334.973178594028	0.4214248862131791	2.2009479572668473	28.03293439215875	-1445.479187959699
9000	-1489.3803613228474	-1444.842242668425	-44.53811865442252	339.5192698377878	67345.77299405154	0.4214248862131791	2.1211524517344746	25.121077909625154	-1444.842242668425
10000	-1491.6248755022782	-1451.283483210366	-40.3413922919121	225.8713526655802	43091.43004291435	0.4214248862131791	2.0100896183778736	24.64909394696192	-1451.283483210366
11000	-1486.9580463347022	-1444.391842388074	-42.5662039466282	331.9834023390727	54261.185667145204	0.4214248862131791	2.117379452115875	25.130105522700543	-1444.391842388074
12000	-1491.1817103860155	-1447.6967408146747	-43.484969571340876	331.9834023390727	64247.76436081034	0.4214248862131791	2.0463342581420227	24.666160290949705	-1447.6967408146747
13000	-1490.5782660062084	-1449.8380860783393	-40.74017992786917	331.9834023390727	30548.238305700444	0.4214248862131791	2.3681173944748397	28.13348151909978	-1449.8380860783393
14000	-1489.2670140000114	-1447.5777611858257	-41.689252814185615	215.13501268361594	39088.529832286666	0.4214248862131791	2.014756102607798	25.952454708600992	-1447.5777611858257
15000	-1489.5307187392816	-1445.629955461348	-43.900763277933734	215.13501268361594	29295.35606421637	0.4214248862131791	2.3586153323044226	23.91878860589223	-1445.629955461348
16000	-1492.9537399954975	-1449.0668100854589	-43.88692991003863	228.24348568733808	82390.56587139348	0.4214248862131791	1.9161646985582794	21.9076385788508	-1449.0668100854589
17000	-1485.6680808022215	-1444.6118911116203	-41.05618969060134	217.55931007904053	33518.6594606545	0.4214248862131791	2.133930638954268	25.27336675700282	-1444.6118911116203
18000	-1493.307427351671	-1447.95408629366	-45.353341058010955	185.91731212564062	28660.107039912193	0.37219984341722845	2.3895897039250085	26.588646892329216	-1447.95408629366
19000	-1492.0785790532686	-1450.5882295395284	-41.49034951374021	173.70393218812285	15758.451908050993	0.40996470191701523	2.265628337670295	25.740592783153648	-1450.5882295395284
20000	-1489.8005052091894	-1448.2651670626722	-41.535338146517184	154.179349178547	51561.8759443092	0.40996470191701523	1.825046420022515	21.26720792348053	-1448.2651670626722
21000	-1491.242782184799	-1450.2154171538061	-41.0273650309927	250.0390966324841	23343.448064233675	0.40996470191701523	2.3578274589898287	27.226831853711023	-1450.2154171538061
22000	-1489.4674978930682	-1445.7212932094715	-43.74620468359676	338.59385451431837	80003.58428408937	0.40996470191701523	2.0008143573778026	25.001797008989865	-1445.7212932094715
23000	-1495.4008237482062	-1450.566805905793	-44.83401784241319	201.51647595853356	32358.399311273883	0.39782806297457196	2.408415616052867	26.20366274652356	-1450.566805905793
24000	-1489.7147501428442	-1448.2162134051323	-41.4985367377118	233.42424713831338	41264.296105709494	0.43397076589263617	1.9724846831022527	24.435578210866574	-1448.2162134051323
25000	-1490.9057427990817	-1450.0086875783147	-40.897055220767065	220.8952143422688	25756.08724721035	0.4037636659788056	2.1273778783146704	26.202974949136916	-1450.0086875783147
26000	-1486.21995163812	-1444.3536799887588	-41.8662716493611	222.83502412433154	63060.93681819485	0.42484230088229097	1.9026856294708587	22.744638697758933	-1444.3536799887588
27000	-1486.680284413499	-1445.7693906529828	-40.91089376051632	156.46345933747958	24807.121967229214	0.39967507180199713	2.264748893784443	25.171329074421884	-1445.7693906529828
28000	-1485.34961659203	-1444.8077160508383	-40.54190054119191	176.60175358133992	35075.72936218902	0.4222023462986949	1.9405184923502479	23.085786305704552	-1444.8077160508383
29000	-1493.2764461017387	-1450.1143040837574	-43.16214201798129	495.60988100448566	59787.58221183328	0.40227226284608397	2.4395067595470206	29.806621204908577	-1450.1143040837574
30000	-1489.3914910110584	-1444.3291354954385	-45.06235551561995	323.5823872114056	87794.38258956056	0.3886157025477818	2.150988845790053	26.055041347500463	-1444.3291354954385
31000	-1493.3570482212085	-1450.820774719963	-42.536273501245425	250.10751968134068	41531.31566803293	0.41479837613798026	2.0900720442170764	25.163149463830326	-1450.820774719963
