Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1451.1057876576588	-1405.9125689698255	-45.19321868783328	175.52823998472178	26441.566351522342	0.38476693272065843	2.398506223024361	25.069745373756767	-1405.9125689698255
1000	-1454.2417223401028	-1408.5718604787162	-45.66986186138667	142.73136835529067	35744.40634133701	0.38476693272065843	2.2454706730549727	23.466833962354656	-1408.5718604787162
2000	-1445.4409185691045	-1401.404206251248	-44.03671231785634	142.73136835529067	26064.15155134751	0.38476693272065843	2.2667528014789453	24.329397060061453	-1401.404206251248
3000	-1443.2919887823027	-1399.5088159168672	-43.78317286543542	110.99533851352976	42121.06096188988	0.38476693272065843	2.006528417080549	21.149738720139624	-1399.5088159168672
4000	-1443.5554362875748	-1399.9576492731644	-43.5977870144104	110.99533851352976	26150.80763671226	0.38476693272065843	1.9068793113107312	21.28689715050507	-1399.9576492731644
5000	-1447.5884535079606	-1401.6241773961647	-45.96427611179597	150.7441783223054	50699.3663210343	0.38476693272065843	2.15818696474004	23.290619984922866	-1401.6241773961647
6000	-1448.025044211952	-1402.1826532858859	-45.84239092606623	172.731276003936	47829.50303658853	0.38476693272065843	2.1827790425503504	22.595867193570967	-1402.1826532858859
7000	-1449.6921043202517	-1401.3936036321722	-48.29850068807947	178.13302548154354	20317.874177596466	0.38476693272065843	2.5262729779930337	25.567077022858776	-1401.3936036321722
8000	-1451.666858725948	-1401.0173782596792	-50.649480466268784	178.13302548154354	37060.041860643854	0.38476693272065843	2.394522841555753	23.467014840275247	-1401.0173782596792
9000	-1446.7907674742878	-1399.9822429154272	-46.808524558860626	178.13302548154354	23512.556750720138	0.38476693272065843	2.2571214372006967	23.16263424634437	-1399.9822429154272
10000	-1455.1314140999245	-1401.516813784635	-53.6146003152896	120.47888545222509	53296.38782423344	0.38476693272065843	2.152555582019877	20.969517744771473	-1401.516813784635
11000	-1445.7483793380113	-1400.48782623006	-45.26055310795149	166.8096091734991	84750.84926211849	0.38476693272065843	1.920489823193613	21.45201667524629	-1400.48782623006
12000	-1451.6069548575647	-1405.0710484709443	-46.53590638662044	166.8096091734991	35812.96863699237	0.38476693272065843	1.9041589356724091	21.153998680987605	-1405.0710484709443
13000	-1445.286607623581	-1398.4116928593075	-46.874914764273385	211.00649608307089	44826.05714854041	0.38476693272065843	2.318226111523325	23.939284529590942	-1398.4116928593075
14000	-1443.2609457064693	-1400.5515467041262	-42.70939900234313	161.30550942781085	40395.230367246026	0.38476693272065843	2.1360396380446245	23.698927989520186	-1400.5515467041262
15000	-1445.173159160801	-1399.310443654649	-45.862715506152114	167.6161346945811	25995.102269722232	0.38476693272065843	2.331631311017365	23.49756775513496	-1399.310443654649
16000	-1445.0709741082478	-1399.884296355986	-45.18667775226196	167.6161346945811	33138.36701641575	0.38476693272065843	2.310984679281653	23.663967771459546	-1399.884296355986
17000	-1447.1669408907703	-1403.8049390454905	-43.362001845279735	119.87340649736727	36840.75975098082	0.38476693272065843	1.922279389061473	21.129772634734643	-1403.8049390454905
18000	-1460.8085478946186	-1411.799595685029	-49.0089522095895	249.97721298356018	25525.54878090295	0.40540249584563104	2.5357059522554914	23.865201230655703	-1411.799595685029
19000	-1445.0566022929547	-1402.0530781552836	-43.00352413767121	236.68999050929972	46861.92980714723	0.4223467236232604	2.120911677448969	23.781268161426866	-1402.0530781552836
