Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1846.5689075284038	-1801.9100331977684	-44.658874330635314	666.5624478305076	22907.71496900093	0.44529242223546456	2.7884493940755126	34.35118268388246	-1801.9100331977684
1000	-1843.7590461417624	-1800.204930125995	-43.5541160157675	666.5624478305076	20297.35699955499	0.44529242223546456	2.831317212630452	35.05341094495685	-1800.204930125995
2000	-1849.232889722578	-1806.428375153182	-42.80451456939596	666.5624478305076	20297.35699955499	0.44529242223546456	2.8002323001411518	35.482416263766154	-1806.428375153182
3000	-1847.2116835241707	-1801.8679851938882	-45.34369833028242	666.5624478305076	20297.35699955499	0.44529242223546456	2.938153736714628	34.13157421410171	-1801.8679851938882
4000	-1850.5202836572926	-1804.5207978770932	-45.99948578019948	666.5624478305076	29347.955285381002	0.44529242223546456	2.8838107911317676	35.006768098708946	-1804.5207978770932
5000	-1853.845655934276	-1807.1636841346724	-46.68197179960365	666.5624478305076	17162.409541296398	0.44529242223546456	3.1804741098257017	37.190661741573216	-1807.1636841346724
6000	-1843.3165397620667	-1798.9557077968357	-44.36083196523099	666.5624478305076	17162.409541296398	0.42189402405102533	3.0264405023011975	36.870481928492744	-1798.9557077968357
7000	-1848.6438757954888	-1803.8025927878293	-44.84128300765951	666.5624478305076	21563.795299390098	0.42189402405102533	3.002519946059353	35.99344532637498	-1803.8025927878293
8000	-1850.9649443410456	-1806.0669781050829	-44.89796623596278	666.5624478305076	26156.403467897693	0.42189402405102533	2.979572534656566	37.09560170776525	-1806.0669781050829
9000	-1850.5888646532787	-1808.6673339791166	-41.92153067416222	666.5624478305076	26156.403467897693	0.42189402405102533	2.778034538238771	35.970558246865835	-1808.6673339791166
10000	-1841.698389837949	-1798.8884239621602	-42.80996587578875	666.5624478305076	21602.746605861732	0.42189402405102533	3.0172227192159937	37.50645669884159	-1798.8884239621602
11000	-1846.3658304924215	-1800.9989164301103	-45.36691406231114	666.5624478305076	15393.326717933705	0.42189402405102533	3.034445439994855	36.81776427853253	-1800.9989164301103
12000	-1847.687241309201	-1804.3485864827735	-43.33865482642749	666.5624478305076	17668.375759136685	0.41060104980332623	2.996416479169488	37.99154490492663	-1804.3485864827735
13000	-1847.1834716276333	-1802.3878898776495	-44.79558174998383	666.5624478305076	17602.072023111876	0.41060104980332623	2.983049569121064	36.73355457416376	-1802.3878898776495
14000	-1849.1337958269007	-1804.8317802207778	-44.30201560612295	666.5624478305076	28154.898154121933	0.41060104980332623	2.983049569121064	35.585337204893186	-1804.8317802207778
15000	-1849.014204650991	-1801.4140048939632	-47.60019975702759	644.5311894565559	25797.048054485324	0.41060104980332623	3.0973501490866924	36.77920850265428	-1801.4140048939632
16000	-1848.6964238736657	-1806.047357120351	-42.649066753314585	485.9056280090829	25019.14688414904	0.41060104980332623	2.7599794091237553	33.3761308170218	-1806.047357120351
17000	-1855.0663031859367	-1806.2857274772634	-48.78057570867321	727.455167149519	20664.211549757732	0.3786597322544633	3.4371454671341097	38.85047959153777	-1806.2857274772634
18000	-1847.795582743021	-1803.4771457251363	-44.318437017884705	498.3723955202823	19276.789399251025	0.3786597322544633	3.0426109941976853	37.145819214476845	-1803.4771457251363
19000	-1848.5002945491583	-1803.6689811293106	-44.83131341984779	510.2769032410897	16645.057553306448	0.3964108124324327	3.0337743413080487	36.21908268677034	-1803.6689811293106
20000	-1850.3178911369278	-1800.530888686994	-49.78700244993374	330.4960404824404	10910.31419673329	0.3964108124324327	3.215369069217694	36.20913015388174	-1800.530888686994
21000	-1847.3036516623029	-1801.5092883951224	-45.794363267180486	577.5597291949716	35643.58557018382	0.3964108124324327	2.938833900852285	33.58170745589947	-1801.5092883951224
22000	-1846.7787564086077	-1803.1571176208572	-43.621638787750534	606.8814420884289	24401.314771441586	0.3964108124324327	3.0036259421956215	36.12178545267111	-1803.1571176208572
23000	-1857.1504592811796	-1804.1803115317584	-52.97014774942115	909.7845500433759	46318.443680471224	0.41576676292914616	3.10375219046666	34.439875729387104	-1804.1803115317584
24000	-1847.0801082619512	-1798.9226518662401	-48.15745639571116	439.72691511041603	25114.17490453636	0.36635127725906	3.116653602303279	37.15733723160118	-1798.9226518662401
25000	-1845.468450940159	-1801.8691330713218	-43.59931786883724	411.68956267945873	13807.992733006407	0.39919803754216676	3.0076243102166877	36.579002374074385	-1801.8691330713218
26000	-1845.4185160738573	-1802.7775498126855	-42.64096626117173	534.3935431316803	20515.956990781204	0.40361982097297167	2.960766353255719	35.31704031689748	-1802.7775498126855
27000	-1849.151929996726	-1805.680093016581	-43.471836980145014	467.7008925470166	14039.8185056401	0.40361982097297167	3.1882289672050974	38.47899997722295	-1805.680093016581
28000	-1842.1778557481578	-1799.0173960162124	-43.1604597319454	752.2043951186832	23122.27474627067	0.41955535676602207	2.9677738045272557	37.11595455472249	-1799.0173960162124
29000	-1850.953431447871	-1802.4227656972637	-48.530665750607255	784.3812401690676	17595.191469685768	0.4351500532130049	3.1794900226453082	36.07796653066086	-1802.4227656972637
30000	-1852.5059417743255	-1801.3720346220855	-51.13390715224004	993.2002484579413	29536.985398885197	0.4351500532130049	3.0952177218828156	36.06512325089953	-1801.3720346220855
31000	-1844.31514472768	-1800.359501199888	-43.95564352779196	389.79863929649815	12958.231805899894	0.4351500532130049	2.8308812746515155	32.42318999840148	-1800.359501199888
32000	-1846.850237110212	-1801.0286635870787	-45.82157352313325	382.2424316638779	15746.253662056417	0.41265131049631437	3.0077754367878873	33.901426548510216	-1801.0286635870787
33000	-1846.3477829763976	-1804.0887016794438	-42.25908129695381	485.37331070790594	39993.56079797869	0.41711306991450314	2.601381132643894	32.10281560792864	-1804.0887016794438
