Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
42000	-1693.2478975446143	-1650.185411645181	-43.06248589943327	241.87210580854736	14697.107207432671	0.41021338816079767	2.4907639052471935	27.981837779530608	-1650.185411645181
43000	-1699.3345537095895	-1656.3404674702044	-42.99408623938515	254.5595498736362	21922.704338026328	0.4550343560745158	2.2640896045948646	26.671229971886426	-1656.3404674702044
44000	-1696.5033706972465	-1652.9989928203954	-43.504377876851066	253.86799319383047	16703.85075442279	0.4409488070371526	2.375537925981483	27.340768596535995	-1652.9989928203954
45000	-1695.662050526822	-1650.9116419128184	-44.75040861400364	401.1276077585385	27103.53733240763	0.4296271270442367	2.594156459991464	29.132431079362526	-1650.9116419128184
46000	-1699.6306996581297	-1654.544384768856	-45.086314889273865	238.29073811649118	20689.700941619598	0.38032782534109416	2.567706635429803	28.517274915420234	-1654.544384768856
47000	-1701.0953919784997	-1657.3478263673417	-43.74756561115796	374.51012314745344	37721.622046946904	0.435970956696405	2.2597045412077996	27.039083226918244	-1657.3478263673417
48000	-1699.5301141820964	-1654.3569891933023	-45.17312498879414	541.4308891932138	22570.51413113958	0.43126023181306733	2.608538527957743	32.019048637383975	-1654.3569891933023
49000	-1698.1336843222243	-1651.233323037912	-46.90036128431235	332.09921718804657	10210.453769442896	0.4339948118710451	2.5496616076813834	29.446420492091868	-1651.233323037912
50000	-1704.1511953315328	-1657.6313519027171	-46.519843428815584	351.17393904631035	19997.124331444556	0.447926380152618	2.247127320207564	25.848526523140336	-1657.6313519027171
51000	-1703.1954799228854	-1653.7365257123058	-49.458954210579655	628.1845758580915	56187.915059032246	0.4064929501732241	2.6427372396857023	30.376079093485018	-1653.7365257123058
52000	-1692.7924063210673	-1651.1045473005056	-41.68785902056172	268.7644332683049	24690.374374768428	0.3922615183219238	2.5098172529525415	29.114313534471176	-1651.1045473005056
53000	-1696.855918660946	-1652.5796050280974	-44.276313632848584	194.8422291326805	14473.524149129831	0.3866507038251847	2.6264320833168995	28.95376291282861	-1652.5796050280974
54000	-1694.4081526176885	-1650.52640385356	-43.881748764128545	265.08757883467536	10676.70814088414	0.4221958509370508	2.694688561741912	30.220364187931366	-1650.52640385356
55000	-1698.024526455954	-1655.2933515700452	-42.73117488590875	234.44843264653815	22144.485175555033	0.39661913817004696	2.5179605396808475	27.965095248978994	-1655.2933515700452
56000	-1697.4141458862348	-1651.0437623777764	-46.37038350845844	355.5234198168061	26395.826359550192	0.39661913817004696	2.5587259342808677	27.845825391555657	-1651.0437623777764
57000	-1700.1611002548113	-1658.0330755497328	-42.12802470507867	293.4964677292145	23656.990209316475	0.39661913817004696	2.3065185448649483	29.031574640985355	-1658.0330755497328
58000	-1702.2819956648082	-1655.474273387857	-46.80772227695125	528.4677005118979	22617.04121025705	0.4108426018684525	2.5990011142428746	31.14446432213522	-1655.474273387857
59000	-1697.251042105296	-1655.6706734633005	-41.58036864199543	502.4411303885643	28833.794308804772	0.41507808482498565	2.7735887648093	33.166007741682805	-1655.6706734633005
60000	-1699.1985035411558	-1654.3875157993284	-44.810987741827354	247.8468940641289	16664.34936461666	0.42369011586849203	2.559237876451115	29.218673627968275	-1654.3875157993284
61000	-1699.6784637412693	-1655.6350938573114	-44.04336988395783	265.9720672372581	14208.89489257692	0.42494630119024857	2.4300685780622624	28.217729058110628	-1655.6350938573114
62000	-1702.5778116930744	-1655.0103097279114	-47.56750196516296	303.9320575512916	60899.08804191223	0.3704415532215064	2.4437047978129205	27.770259518769304	-1655.0103097279114
63000	-1699.1388242685885	-1654.5744499047084	-44.564374363879985	367.5226174665779	28443.14489006444	0.42590920607818394	2.512063487745853	27.45074123777553	-1654.5744499047084
64000	-1701.4842512714145	-1655.517749718428	-45.966501552986465	303.835987386942	10265.206360883301	0.4476581101420951	2.4508094249299677	28.74869476390696	-1655.517749718428
65000	-1699.6816216116272	-1652.7196233073983	-46.96199830422887	355.1648662000827	20431.400198885152	0.37729247800302124	3.0864579121420004	33.20868023133299	-1652.7196233073983
66000	-1696.3880917420058	-1651.6432085030601	-44.7448832389456	340.55352751238627	23173.640191554543	0.37812840549137855	2.792346101686692	32.24724737643935	-1651.6432085030601
67000	-1697.1639858042422	-1649.5337986293225	-47.63018717491957	335.8865974192986	49778.305712695554	0.3852617585828423	2.6650459242643207	30.176450582329586	-1649.5337986293225
68000	-1696.4851734906783	-1653.8220428597865	-42.66313063089173	275.291946949122	13942.823740272273	0.4592778614484024	2.3685397130240164	28.594124772550813	-1653.8220428597865
69000	-1702.3675664466664	-1656.4998281394767	-45.867738307189676	371.57275888123826	18175.008717742894	0.37692484178054697	2.876297339277991	34.14157660414918	-1656.4998281394767
70000	-1693.5874667650696	-1650.8854075579025	-42.7020592071671	257.9417172039928	16501.83616373947	0.41557391138108046	2.724690753158443	29.95716459551821	-1650.8854075579025
71000	-1698.536963238026	-1654.469531438186	-44.06743179983993	353.7679659427045	26329.39846392307	0.40240364572713544	2.492767208484542	30.259278656712382	-1654.469531438186
72000	-1692.1708723359934	-1650.175339139892	-41.9955331961015	298.41704902332873	28320.703200956323	0.4040317625838836	2.549798307898851	30.06085719832719	-1650.175339139892
73000	-1694.1218799289536	-1651.5777861984113	-42.54409373054223	332.38406865787806	30156.238160235232	0.3881299624678857	2.484635606894293	30.661532635021494	-1651.5777861984113
74000	-1697.450403332531	-1652.9616282617044	-44.488775070826705	348.5004324878978	57601.90634855757	0.40062378111192704	2.263612449307664	25.91374020687178	-1652.9616282617044
75000	-1699.6969365192308	-1654.4336801132347	-45.2632564059962	332.6899661782901	19616.776129939288	0.3872798424220631	2.7357803678706896	31.39968152142351	-1654.4336801132347
76000	-1698.2552777665794	-1653.350990956227	-44.90428681035246	215.31240163721216	20666.49116205655	0.3764052658144812	2.4326280271644647	27.60770316708004	-1653.350990956227
77000	-1696.0664627307406	-1649.7204410763538	-46.346021654386824	281.3684798531567	13730.255836369726	0.3896712356535788	2.8924671885358975	30.85737920631233	-1649.7204410763538
78000	-1697.934764987904	-1651.3161659049586	-46.618599082945344	222.35688286780118	15478.517996120325	0.3948525835503151	2.623363276396766	28.16086620856479	-1651.3161659049586
79000	-1696.0197050235442	-1654.3045772136943	-41.71512780984988	236.98625942657955	39614.7533047253	0.3948525835503151	2.2572554542946044	27.482012075783324	-1654.3045772136943
80000	-1695.0778746669962	-1650.226308055306	-44.85156661169029	437.19266676818506	23859.073292891386	0.41159741280392803	2.7718516273812157	31.786327646256115	-1650.226308055306
81000	-1696.7470882687644	-1651.5125258697894	-45.23456239897489	363.0666831599664	26330.60597638172	0.44404293472878403	2.5915459274284918	28.488075062518124	-1651.5125258697894
82000	-1698.2812465322017	-1657.7867995621125	-40.49444697008927	291.84393347398446	32452.12087148658	0.423658174688092	2.2752377411422247	26.685582513429928	-1657.7867995621125
83000	-1697.3857659499065	-1653.1492472622901	-44.236518687616325	365.7489410904796	29937.884339047978	0.3792036101661064	2.6201806868286663	31.671117100663366	-1653.1492472622901
84000	-1702.354761313027	-1653.1293979778934	-49.225363335133636	676.8383056984322	23033.75760659113	0.4001519520865198	3.1026925208345357	34.35020556115474	-1653.1293979778934
85000	-1698.7848816071046	-1655.2477308220296	-43.53715078507511	299.7044874561991	22111.96169900447	0.38094309184526287	2.4868053682976567	30.18166381040698	-1655.2477308220296
86000	-1698.9948607752042	-1652.8273230638736	-46.16753771133073	621.6119199220007	41413.3613143469	0.3808616568506238	2.937188643873896	35.17766967170842	-1652.8273230638736
87000	-1694.6245561839962	-1650.8981381535423	-43.726418030453935	263.98784075741895	27265.154215928826	0.38793523716154926	2.4002550211109117	27.99413923873387	-1650.8981381535423
88000	-1697.1195709820815	-1654.0265204423108	-43.0930505397708	321.7745044490195	30279.354888543494	0.4096166663220663	2.5316090965988645	29.307238397828403	-1654.0265204423108
