Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
0	-1459.9236951541766	-1412.5686887378686	-47.35500641630813	231.03164931522744	18313.04921088602	0.45736401260790044	2.1906896600255608	22.49653723488128	-1412.5686887378686
1000	-1464.4031818154808	-1419.6492588517929	-44.753922963688005	176.19510837317225	13875.876995538121	0.45736401260790044	2.2657904156455686	24.119965542160188	-1419.6492588517929
2000	-1453.3876797237945	-1410.75946657687	-42.628213146924445	176.19510837317225	30699.909334754586	0.45736401260790044	1.8927029719797217	21.651174404871696	-1410.75946657687
3000	-1458.2435996969523	-1413.959165902996	-44.28443379395639	176.19510837317225	25957.423605745014	0.45736401260790044	2.127715861423226	22.663612219619598	-1413.959165902996
4000	-1452.9853139784964	-1408.8219474026305	-44.16336657586588	107.81689789204772	19771.515256994728	0.45736401260790044	1.9011791960631634	19.596706490436098	-1408.8219474026305
5000	-1456.814491935465	-1409.5862406559113	-47.22825127955367	164.10662978223718	19485.648620435866	0.45736401260790044	1.906817257430658	20.466225925898367	-1409.5862406559113
6000	-1456.629895837978	-1408.222534586784	-48.4073612511941	164.10662978223718	21692.585420438845	0.45736401260790044	2.1708857290232677	22.438627061301325	-1408.222534586784
7000	-1461.1229096398044	-1415.193350126282	-45.92955951352249	227.81717070575257	18335.708273201086	0.45736401260790044	2.1122672976320884	23.133322981480998	-1415.193350126282
8000	-1457.843169153258	-1407.7294682699405	-50.11370088331741	342.80989656638155	35523.91383686389	0.45736401260790044	2.1209456306960286	22.259493336079345	-1407.7294682699405
9000	-1463.5121123099948	-1414.4162204057518	-49.09589190424288	467.0001400751133	57007.744348781314	0.45736401260790044	2.264886778838614	24.582928801005163	-1414.4162204057518
10000	-1462.55428771492	-1413.0143308937277	-49.5399568211923	460.0263233042695	35786.2399490303	0.45736401260790044	2.3750399060907754	25.89478728822954	-1413.0143308937277
11000	-1460.1605410095685	-1413.0383574874968	-47.12218352207181	358.1963806155966	39925.72872393645	0.45736401260790044	2.1709117197423202	23.817762814760403	-1413.0383574874968
12000	-1459.88976052802	-1411.1979624951114	-48.69179803290856	131.31524765967765	28696.47413712676	0.4144057569586393	2.079612317714838	19.047041111004344	-1411.1979624951114
13000	-1455.9687497747825	-1409.898070379666	-46.070679395116514	96.06261079921944	41742.7363777298	0.4144057569586393	1.8026721328940247	18.906135194120004	-1409.898070379666
