Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2862.089736377208	-2800.6309366031783	-61.458799774029444	1.2580642921127083E14	0.8162702044105421	0.7865704838249614	6.150743702440294	241.10392099310957	-2800.6309366031783
1000	-2857.2337217597974	-2795.991343448529	-61.242378311268624	1.2580642921127083E14	0.8162702044105421	0.7865704838249614	6.150743702440294	241.09303649749796	-2795.991343448529
2000	-2860.132531305921	-2797.0072075208095	-63.12532378511134	1.2580642921127083E14	0.8170242053182342	0.7872970506597708	6.1450674124302385	240.74627266473016	-2797.0072075208095
3000	-2858.139823735217	-2796.9458513090763	-61.19397242614039	1.0757462735597942E14	0.8170242053182342	0.7872970506597708	6.1450674124302385	240.88938511853473	-2796.9458513090763
4000	-2860.178960459978	-2797.1366403529514	-63.042320107026455	2.912100747610379E14	0.814691787539473	0.7850494971280981	6.166579896460402	241.92205674773436	-2797.1366403529514
5000	-2861.779531748117	-2798.2335988642462	-63.545932883870556	2.912100747610379E14	0.8111261481009608	0.7816135922976367	6.193687641083152	242.6828524739253	-2798.2335988642462
6000	-2863.9902185899455	-2801.4960807960974	-62.49413779384806	2.912100747610379E14	0.8111261481009608	0.7816135922976367	6.193687641083152	242.75435369181045	-2801.4960807960974
7000	-2858.7146065381926	-2799.8104603371985	-58.90414620099424	2.912100747610379E14	0.8111261481009608	0.7816135922976367	6.193687641083152	242.79405692951298	-2799.8104603371985
8000	-2866.3342763363216	-2801.334135057355	-65.00014127896657	2.6843748831786428E14	0.8111261481009608	0.7816135922976367	6.193687641083152	242.2472034565485	-2801.334135057355
9000	-2864.1448460382294	-2799.7248145874946	-64.42003145073477	2.6843748831786428E14	0.8111261481009608	0.7816135922976367	6.193687641083152	242.08334358924668	-2799.7248145874946
10000	-2864.7785545974684	-2799.4092126662335	-65.36934193123503	2.3563896457090388E14	0.8111261481009608	0.7816135922976367	6.193687641083152	241.88606135163508	-2799.4092126662335
11000	-2870.2315016813795	-2801.6385358315006	-68.5929658498788	1.8204486395411566E14	0.8111261481009608	0.7816135922976367	6.193687641083152	241.57405711945657	-2801.6385358315006
12000	-2866.1232559928485	-2799.760421915863	-66.36283407698545	1.4248302176272778E14	0.8111261481009608	0.7816135922976367	6.193687641083152	241.50543029513057	-2799.760421915863
13000	-2868.197649350935	-2798.851041294995	-69.34660805594002	1.4248302176272778E14	0.8111261481009608	0.7816135922976367	6.193687641083152	241.07798207199158	-2798.851041294995
14000	-2863.6796559901627	-2798.343298003376	-65.33635798678702	1.9074695022120944E14	0.8103285938868278	0.7808450568289921	6.1997836886821585	241.40075888701884	-2798.343298003376
15000	-2866.0531835693882	-2800.209954217621	-65.84322935176738	1.4678241942810047E14	0.8103285938868278	0.7808450568289921	6.1997836886821585	241.63432632960794	-2800.209954217621
16000	-2868.4672016912405	-2801.756755113575	-66.71044657766578	3.0882197726095625E14	0.8074376311711993	0.7780592808326797	6.2219814941807	242.82158040956122	-2801.756755113575
17000	-2868.355224804271	-2799.1347996935106	-69.22042511076069	2.7470093645659434E14	0.8061535513031824	0.7768219217846605	6.231892163386257	242.717639110467	-2799.1347996935106
18000	-2866.1556723167932	-2799.466340810072	-66.68933150672127	2.3561217288807928E14	0.8061535513031824	0.7768219217846605	6.231892163386257	242.93230640355742	-2799.466340810072
19000	-2867.1782027751383	-2800.997123626281	-66.18107914885749	2.402819305208831E14	0.8065670181630091	0.7772203447899622	6.228697536249825	242.21994511546293	-2800.997123626281
20000	-2865.6027349559176	-2797.840697226558	-67.76203772935949	1.2903089001921172E14	0.8124015073224155	0.7828425479969257	6.1435462906296205	241.06151845509515	-2797.840697226558
21000	-2856.85092848871	-2794.9660123029726	-61.8849161857375	1.1486223565540017E14	0.8151852948706916	0.7855250483587938	6.122566609355039	240.5479255604289	-2794.9660123029726
22000	-2860.707006966758	-2799.7514995708743	-60.9555073958837	1.1980554226897205E14	0.8174166269986342	0.7876751942075173	6.105853614867658	240.19811041894954	-2799.7514995708743
23000	-2869.003877550584	-2799.786754289172	-69.21712326141184	8.33641382925563E13	0.8177979753542934	0.7880426673297702	6.10300638693839	239.45631751064175	-2799.786754289172
24000	-2858.2524532900097	-2798.436306187411	-59.81614710259872	6.015136551361536E13	0.8173677227744839	0.7876280693473385	6.106218936405919	239.60405089911836	-2798.436306187411
25000	-2857.069068286273	-2795.335719615752	-61.73334867052047	5.159610374778581E13	0.8152820455037425	0.7856182787521587	6.1218400360193215	239.4229890511004	-2795.335719615752
26000	-2856.063504371257	-2800.166579746955	-55.89692462430196	5.261373683112066E13	0.8152820455037425	0.7856182787521587	6.1218400360193215	239.85864481140302	-2800.166579746955
27000	-2867.0878283289803	-2801.345254895016	-65.7425734339645	4.2442131172709E13	0.8169480190770021	0.7872236364296507	6.109355981365204	238.7870063692375	-2801.345254895016
28000	-2864.3479425072455	-2798.5132338247586	-65.83470868248678	3.9929557697290484E13	0.8169480190770021	0.7872236364296507	6.109355981365204	238.80993430360058	-2798.5132338247586
29000	-2860.152778436596	-2792.9329706731937	-67.21980776340204	3.365091056862738E13	0.8179945729997229	0.7882321118350931	6.101539584192606	238.40031136412597	-2792.9329706731937
30000	-2862.8245748163704	-2794.5862418937522	-68.23833292261834	5.2672165868485734E13	0.8179945729997229	0.7882321118350931	6.1019991858110805	238.56315452903098	-2794.5862418937522
31000	-2855.7780478707555	-2797.3788486920466	-58.39919917870871	5.969016594485393E13	0.8179945729997229	0.7882321118350931	6.1019991858110805	239.4982404360642	-2797.3788486920466
32000	-2859.9415472883147	-2798.4342028916167	-61.50734439669799	8.408787455128727E13	0.8155837580845762	0.7859090136208337	6.144973623162429	240.41014166043072	-2798.4342028916167
33000	-2857.8977359509595	-2800.8223342563965	-57.07540169456303	1.149577247585879E14	0.8153436103756505	0.7856776036066271	6.146783536575905	241.22323686170486	-2800.8223342563965
34000	-2863.2303948948197	-2800.7636099080864	-62.46678498673316	1.149577247585879E14	0.8157413105060529	0.7860608335497239	6.143786781866333	240.66807151193328	-2800.7636099080864
35000	-2860.9796254478297	-2799.6646762464356	-61.314949201393915	1.3919184007652483E14	0.8157413105060529	0.7860608335497239	6.143786781866333	241.31749807470757	-2799.6646762464356
36000	-2860.233016051609	-2800.8930653156435	-59.3399507359656	1.6563735504250666E14	0.8141064446326703	0.784485451728769	6.156124563257492	241.6446320353357	-2800.8930653156435
37000	-2863.713433496443	-2801.6131327978633	-62.10030069857963	1.4907608915961822E14	0.8141064446326703	0.784485451728769	6.150282037853362	241.28692119053184	-2801.6131327978633
38000	-2867.1310796104844	-2799.118893431916	-68.0121861785681	1.594515125641741E14	0.8141064446326703	0.784485451728769	6.130932079796184	240.8884752851767	-2799.118893431916
39000	-2863.5703719498224	-2797.63387009556	-65.93650185426274	1.5966348755692612E14	0.8141064446326703	0.784485451728769	6.1559033890370625	241.07298689470258	-2797.63387009556
40000	-2860.7224980968276	-2799.4247868812904	-61.29771121553743	8.948287814407397E13	0.8141064446326703	0.784485451728769	6.1559033890370625	240.5678842800498	-2799.4247868812904
41000	-2868.9278994718684	-2800.7499761722224	-68.17792329964594	8.550878380486828E13	0.8141064446326703	0.784485451728769	6.1559033890370625	240.13852088817117	-2800.7499761722224
42000	-2864.5941225272973	-2799.844440882082	-64.74968164521528	6.772412510239608E13	0.8174578390210283	0.7877149067441491	6.1306655613614485	239.64913698370404	-2799.844440882082
43000	-2862.0882025624637	-2798.6865915750946	-63.40161098736919	8.237764058414402E13	0.8186336350102528	0.7888479217863821	6.121860142587964	239.85404324040815	-2798.6865915750946
44000	-2862.9769013001837	-2798.7641742994265	-64.21272700075703	5.9819142786718484E13	0.8196274786625152	0.7898056047670696	6.114437048559105	239.17121132641074	-2798.7641742994265
45000	-2861.9932636055455	-2797.2613898705213	-64.73187373502401	3.641918336274061E13	0.8212542951385282	0.7913732300653077	6.102325006051659	238.6476885141987	-2797.2613898705213
46000	-2865.334353035108	-2798.9254336005465	-66.40891943456145	4.797055844022837E13	0.8189856797889878	0.7891871575326354	6.079149449715098	239.08391267064712	-2798.9254336005465
47000	-2858.266176752572	-2798.491076963878	-59.775099788693765	3.538485946725814E13	0.8189856797889878	0.7891871575326354	6.105489054212482	239.46668947490187	-2798.491076963878
48000	-2861.8372479592263	-2795.5905819728728	-66.24666598635352	6.0761537302948164E13	0.8188340466015023	0.7890410414683714	6.110345931955652	239.21478099615982	-2795.5905819728728
49000	-2856.24647012343	-2795.933467773072	-60.31300235035755	5.766521467960323E13	0.8165524335871734	0.786842444186632	6.127419477054471	240.55812837234012	-2795.933467773072
50000	-2866.6085936850964	-2796.600368558302	-70.0082251267944	2.9552688402200117E13	0.8204453383793836	0.7905937069294692	6.08005349044055	238.05918088318893	-2796.600368558302
51000	-2855.915593932681	-2796.9871169196313	-58.928477013049786	5.990108024813127E13	0.8185847109991617	0.7888007778592038	6.110029956122257	239.7472749172869	-2796.9871169196313
52000	-2859.8305674782528	-2798.610124089119	-61.220443389133685	6.170756299242587E13	0.8161549945394531	0.7864594658268105	6.128219687794586	240.30381326216792	-2798.610124089119
