Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2317.4783737400307	-2246.067923788412	-71.41044995161896	5.070627327496723E13	0.7717994326830658	0.5100014748255429	5.121847409805686	199.62158683044711	-2246.067923788412
1000	-2314.747893617294	-2247.034571895105	-67.71332172218881	7.290354784828808E13	0.7717994326830658	0.5100014748255429	5.1557137397246775	200.0341953801229	-2247.034571895105
2000	-2309.8444549087394	-2241.9902884123453	-67.85416649639428	7.290354784828808E13	0.7717994326830658	0.5100014748255429	5.1557137397246775	200.20741777190324	-2241.9902884123453
3000	-2310.9695568886746	-2241.690716766582	-69.27884012209229	3.4189441403772027E13	0.7801473470479335	0.5155177378046427	5.100545370631513	198.13648065882663	-2241.690716766582
4000	-2307.7062814630362	-2237.1440620605717	-70.56221940246468	1.2342684204559602E14	0.7713698498288638	0.5097176084738392	5.158585003391842	200.54502967306	-2237.1440620605717
5000	-2300.1791560743177	-2236.45320331474	-63.72595275957749	8.05292503551772E13	0.766292700856408	0.5063626520509511	5.175598896181483	201.86713225023976	-2236.45320331474
6000	-2305.7227775577194	-2241.7691510676045	-63.95362649011465	8.05292503551772E13	0.766292700856408	0.5063626520509511	5.175598896181483	201.62871468989755	-2241.7691510676045
7000	-2310.0535735497742	-2240.683367311706	-69.37020623806784	6.537354579168452E13	0.7706697615373055	0.5092549933874798	5.146203801733527	200.11579407712185	-2240.683367311706
8000	-2299.315643447675	-2235.6763593910628	-63.639284056612176	9.780044876523689E13	0.7691181458001652	0.5082296929262536	5.156585731803573	200.8224422474479	-2235.6763593910628
9000	-2310.32739992391	-2242.45372943607	-67.87367048784016	7.794465417075312E13	0.7702391372325114	0.5089704388500694	5.149080934726811	200.30824066544085	-2242.45372943607
10000	-2310.9533773830854	-2243.187979439982	-67.76539794310352	7.794465417075312E13	0.7630500016641347	0.5042198915092314	5.1975934054843815	201.81040629668666	-2243.187979439982
11000	-2307.965144245214	-2240.119293333199	-67.84585091201497	7.794465417075312E13	0.7648664502975594	0.5054201923163607	5.185249863111963	201.2587275348331	-2240.119293333199
12000	-2306.0831581527464	-2236.7267972479526	-69.35636090479355	7.794465417075312E13	0.7648664502975594	0.5054201923163607	5.185249863111963	201.35973971127376	-2236.7267972479526
13000	-2308.5716751028904	-2239.2472678229046	-69.3244072799856	7.794465417075312E13	0.7648664502975594	0.5054201923163607	5.185249863111963	201.23687680683298	-2239.2472678229046
