Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2877.3240901633717	-2809.817276381821	-67.50681378155068	1.298190513557103E14	0.728840878340062	0.7511797577436875	6.6738951994505085	259.5244760074895	-2809.817276381821
1000	-2882.919208671902	-2811.0523931053335	-71.86681556656852	9.6365050462081E13	0.728840878340062	0.7511797577436875	6.6738951994505085	259.15949824546453	-2811.0523931053335
2000	-2878.3728207637673	-2803.6394834392227	-74.73333732454466	1.3330613907442197E14	0.728840878340062	0.7511797577436875	6.6738951994505085	259.28588698511925	-2803.6394834392227
3000	-2877.2208968891955	-2805.911517871162	-71.30937901803375	1.3330613907442197E14	0.728840878340062	0.7511797577436875	6.6738951994505085	259.742843003166	-2805.911517871162
4000	-2883.938843454381	-2810.7164795954477	-73.22236385893333	1.3862135165797264E14	0.7297034929835577	0.7520688114153244	6.666005693940999	259.3818275207584	-2810.7164795954477
5000	-2887.5231956538582	-2814.0794208795182	-73.4437747743402	1.2049026937874003E14	0.7297993038795771	0.7521675589030133	6.665130554741754	259.0098074983658	-2814.0794208795182
6000	-2882.1740582282905	-2808.6564356979675	-73.51762253032291	1.0488546432336488E14	0.7297993038795771	0.7521675589030133	6.665130554741754	259.2147442177874	-2808.6564356979675
7000	-2878.0400997671222	-2807.563951696446	-70.47614807067623	9.728045914835238E13	0.7302474884989901	0.7526294803235049	6.661039874461354	258.9937596504868	-2807.563951696446
8000	-2883.1952140702356	-2804.3757026293883	-78.81951144084704	5.396492106909224E13	0.7316583846559926	0.7540836202666875	6.648195033538856	257.9919178946512	-2804.3757026293883
9000	-2882.063106141925	-2806.0600948540196	-76.00301128790537	6.298681863681334E13	0.7346103083484976	0.7571260200416068	6.621480237668354	257.40805446636614	-2806.0600948540196
10000	-2886.575516414644	-2807.7485875616785	-78.82692885296532	6.298681863681334E13	0.7346103083484976	0.7571260200416068	6.621480237668354	257.12565393991434	-2807.7485875616785
11000	-2888.8143955921787	-2813.358357139421	-75.45603845275744	4.608095023863824E13	0.7345599819469464	0.7570741511423055	6.6219338905782505	257.2427144809889	-2813.358357139421
12000	-2892.8742988970466	-2816.3820157306945	-76.49228316635202	4.608095023863824E13	0.7345599819469464	0.7570741511423055	6.6219338905782505	257.2971841557475	-2816.3820157306945
13000	-2885.8178276447748	-2810.628911151464	-75.18891649331103	4.608095023863824E13	0.7345599819469464	0.7570741511423055	6.6219338905782505	257.30551802109864	-2810.628911151464
