Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-3133.2268624382846	-3065.385483243223	-67.84137919506149	5.372458687409895E13	0.7314897355293041	0.8715843347492487	7.597487412868947	297.5826141774695	-3065.385483243223
1000	-3132.8138746779823	-3065.717292856321	-67.09658182166153	6.8172905579923164E13	0.7314897355293041	0.8715843347492487	7.597487412868947	297.7437655243838	-3065.717292856321
2000	-3134.609126284441	-3066.1006286214897	-68.50849766295148	4.720467866945606E13	0.7314897355293041	0.8715843347492487	7.597487412868947	297.2583208617777	-3066.1006286214897
3000	-3130.5907430028083	-3065.4827877955395	-65.10795520726872	4.720467866945606E13	0.7314897355293041	0.8715843347492487	7.597487412868947	297.29628543080304	-3065.4827877955395
4000	-3126.297391030821	-3061.3095661372963	-64.98782489352473	4.720467866945606E13	0.7314897355293041	0.8715843347492487	7.597487412868947	297.1815113852335	-3061.3095661372963
5000	-3130.150049219494	-3067.44999087294	-62.70005834655418	4.3121896172144125E13	0.7304112192848048	0.870299261537937	7.608705769564208	297.5197518190213	-3067.44999087294
6000	-3130.9266312257714	-3067.439966145204	-63.48666508056764	4.532967193272655E13	0.7304112192848048	0.870299261537937	7.608705769564208	297.3995445958453	-3067.439966145204
7000	-3132.338080021805	-3066.6330933576783	-65.70498666412666	4.532967193272655E13	0.7304112192848048	0.870299261537937	7.608705769564208	297.41048389274084	-3066.6330933576783
8000	-3133.1350781176125	-3066.8559015145293	-66.2791766030831	6.897902618012101E13	0.7305939529222237	0.870516992242922	7.606802706343165	297.5616252046669	-3066.8559015145293
9000	-3138.9333474460695	-3073.1112354941833	-65.8221119518863	5.321302161881824E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.32064284813396	-3073.1112354941833
10000	-3136.2858858841523	-3070.294714628524	-65.991171255628	5.321302161881824E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.50531262048554	-3070.294714628524
11000	-3137.9360846254863	-3069.1259541672057	-68.81013045828071	6.094049979126591E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.43780059596185	-3069.1259541672057
12000	-3136.4186231335625	-3072.2703877458334	-64.14823538772929	6.094049979126591E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.78491894467	-3072.2703877458334
13000	-3134.6544954960227	-3071.8774916103744	-62.77700388564836	6.094049979126591E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.99673913122905	-3071.8774916103744
14000	-3138.4380607019893	-3073.1522582111934	-65.285802490796	4.972225806546209E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.7505228026004	-3073.1522582111934
15000	-3135.4073695193456	-3070.3041327494793	-65.10323676986626	7.66929165212679E13	0.7309760665934749	0.8709722881599796	7.602826292556939	298.12080265854166	-3070.3041327494793
16000	-3134.8103784355008	-3069.8536019370727	-64.956776498428	7.261950318079464E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.9085866564709	-3069.8536019370727
17000	-3138.231149953815	-3069.2705151465125	-68.96063480730272	5.762576591290063E13	0.7309760665934749	0.8709722881599796	7.602826292556939	297.73873465894803	-3069.2705151465125
18000	-3148.786639444198	-3076.5888769326934	-72.19776251150459	6.161082899125254E13	0.7309760665934749	0.8709722881599796	7.555682060987022	297.01982518794426	-3076.5888769326934
19000	-3152.640497711953	-3077.151826238342	-75.48867147361095	4.563097198893826E13	0.7309760665934749	0.8709722881599796	7.6202841719036	296.6989213647206	-3077.151826238342
20000	-3150.5978656840966	-3075.316332743736	-75.28153294036048	4.7222778852417234E13	0.7319419398273228	0.8721231450197362	7.559582327112904	296.28442767455516	-3075.316332743736
