Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2415.6143348517126	-2360.2810274636863	-55.33330738802636	1.1301010470717177E14	0.7905123850379885	0.6488806009384338	5.564655858375459	218.85128698571293	-2360.2810274636863
1000	-2418.2264816027455	-2361.9477563400224	-56.278725262723206	9.897481228819039E13	0.7951141496700226	0.652657892548695	5.532450122219033	217.78040564736372	-2361.9477563400224
2000	-2420.0408964711737	-2363.577751535739	-56.46314493543473	9.897481228819039E13	0.7951141496700226	0.652657892548695	5.532450122219033	217.8003334391725	-2363.577751535739
3000	-2426.5334423122367	-2367.426576008358	-59.10686630387878	1.0735586552991653E14	0.7951141496700226	0.652657892548695	5.532450122219033	217.59258002845507	-2367.426576008358
4000	-2424.5757738486313	-2368.5101637243024	-56.06561012432875	9.928862330994292E13	0.7925630792352025	0.6505638834627998	5.597328312034731	218.24809580395004	-2368.5101637243024
5000	-2427.232770617574	-2371.062481173145	-56.1702894444286	5.5213811794654234E13	0.7943012144119751	0.6519906064583696	5.585079919285772	217.75775402725597	-2371.062481173145
6000	-2431.308612564509	-2374.9480662447677	-56.36054631974144	6.344499228472835E13	0.7943012144119751	0.6519906064583696	5.585079919285772	217.72688788151024	-2374.9480662447677
7000	-2432.735008441033	-2375.0598348323288	-57.675173608704426	6.6364064087236336E13	0.7943012144119751	0.6519906064583696	5.585079919285772	217.63254449261956	-2375.0598348323288
8000	-2435.2212114148324	-2374.9530423523443	-60.26816906248817	9.151787705722162E13	0.7927913858950891	0.6507512856660661	5.5957164033359925	218.05046710258483	-2374.9530423523443
9000	-2430.7064417987904	-2373.5489345786223	-57.157507220167965	9.151787705722162E13	0.7927913858950891	0.6507512856660661	5.5957164033359925	218.21142113632996	-2373.5489345786223
10000	-2431.456925559274	-2374.9819120990846	-56.475013460189665	9.151787705722162E13	0.7927913858950891	0.6507512856660661	5.5957164033359925	218.3514125273116	-2374.9819120990846
11000	-2430.585221764243	-2373.9934402798162	-56.591781484426754	9.151787705722162E13	0.7927913858950891	0.6507512856660661	5.5957164033359925	218.29495151157525	-2373.9934402798162
12000	-2433.51696953334	-2373.7143815621625	-59.8025879711778	1.1201053648875536E14	0.7920209253008019	0.650118864286107	5.601159793589778	218.50286212745596	-2373.7143815621625
13000	-2437.2437171136908	-2375.20100947667	-62.04270763702077	1.0792151777208122E14	0.7920209253008019	0.650118864286107	5.601159793589778	218.8129552285861	-2375.20100947667
14000	-2431.6473720322956	-2372.0229011389597	-59.62447089333578	1.1787194037397505E14	0.7920209253008019	0.650118864286107	5.601159793589778	218.6802344697381	-2372.0229011389597
15000	-2426.208756260634	-2369.201628640857	-57.00712761977661	8.485757457330794E13	0.7920209253008019	0.650118864286107	5.601159793589778	218.2506809923375	-2369.201628640857
16000	-2430.556175311189	-2368.700449676013	-61.85572563517594	8.334022147343866E13	0.7917334116789437	0.6498828629086961	5.603193823877127	218.040038460808	-2368.700449676013
17000	-2436.5604548349907	-2368.115069719681	-68.44538511530973	1.1585401165922889E14	0.7894936872712066	0.6480444176836296	5.619089593749582	218.5455281035192	-2368.115069719681
18000	-2433.6799858240865	-2367.161963244302	-66.51802257978441	8.785390153860952E13	0.7906551619505272	0.6489977972917885	5.6108351351713655	217.87976738127838	-2367.161963244302
19000	-2430.5991988342876	-2367.713662096611	-62.88553673767619	9.782324677323417E13	0.7914311381854644	0.6496347461052038	5.605333867261909	218.52743996124926	-2367.713662096611
20000	-2430.476561219314	-2366.8557190326737	-63.620842186640516	2.138673224943148E14	0.7871735259508774	0.6461399469880352	5.635651627279779	220.14474805595407	-2366.8557190326737
21000	-2437.450449674451	-2373.531234198455	-63.91921547599628	1.3704011588539688E14	0.7878766708234125	0.646717113236247	5.630622058957908	219.52885220410192	-2373.531234198455
22000	-2439.3697667504275	-2375.102110961758	-64.26765578866934	1.2364792396412131E14	0.7878424069233506	0.6466889882119167	5.630866939240841	219.71358094737263	-2375.102110961758
23000	-2434.1923129823494	-2372.579985829842	-61.61232715250761	2.1043492992999822E14	0.7871101838911639	0.6460879535790142	5.636105151817011	220.77475112758367	-2372.579985829842
24000	-2437.8163376131492	-2370.194889407832	-67.62144820531745	1.9148990102328738E14	0.7871101838911639	0.6460879535790142	5.636105151817011	219.63472286547153	-2370.194889407832
25000	-2443.737303647138	-2374.4993750468307	-69.23792860030757	1.7206952752285797E14	0.7881966761670033	0.646979784971166	5.6283360443106885	219.13303893352713	-2374.4993750468307
26000	-2441.6356895903073	-2372.9564357891904	-68.67925380111694	1.3358218006922222E14	0.7910271172364494	0.6493031113817632	5.608196818808387	218.86142303145058	-2372.9564357891904
27000	-2436.5504254609955	-2372.6464311006143	-63.90399436038098	1.1522469686087952E14	0.7910271172364494	0.6493031113817632	5.608196818808387	218.859273438376	-2372.6464311006143
28000	-2442.078128696855	-2374.287221998677	-67.79090669817772	1.194537462164859E14	0.787344565306836	0.6462803421572689	5.634427362495071	219.07136367256427	-2374.287221998677
