Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2769.397998964738	-2689.9406041923944	-79.45739477234343	8.000623409274758E13	0.7404236136908557	0.7150293505315349	6.317975698074014	245.50536011120275	-2689.9406041923944
1000	-2759.8431690171824	-2686.8221909763124	-73.02097804086984	5.765943884204966E13	0.7404236136908557	0.7150293505315349	6.317975698074014	245.69168184827137	-2686.8221909763124
2000	-2767.7546178745447	-2688.962598142722	-78.79201973182276	5.980724427521085E13	0.7404236136908557	0.7150293505315349	6.317975698074014	245.347398969035	-2688.962598142722
3000	-2771.6445856475475	-2692.7162952295344	-78.92829041801336	3.76031690593343E13	0.7400774236381776	0.7146950337378106	6.320931092023182	245.352605689047	-2692.7162952295344
4000	-2762.433269601586	-2691.5813476080302	-70.85192199355564	4.315968994393429E13	0.744030892329638	0.7185129105566097	6.287344310303746	244.5791699403713	-2691.5813476080302
5000	-2761.1041555653546	-2691.625571692746	-69.47858387260877	5.763934438059968E13	0.744030892329638	0.7185129105566097	6.287344310303746	244.8612385783907	-2691.625571692746
6000	-2753.644151212918	-2690.5994052794026	-63.044745933515514	4.270762122424819E13	0.744030892329638	0.7185129105566097	6.287344310303746	245.09088109558442	-2690.5994052794026
7000	-2754.856657153886	-2688.785037788403	-66.071619365483	5.6938722216673375E13	0.744030892329638	0.7185129105566097	6.287344310303746	244.91091644370508	-2688.785037788403
8000	-2758.0213067940454	-2690.3727133524385	-67.64859344160676	5.576360662919447E13	0.7403251483697718	0.7149342622695148	6.31881600656155	246.122391466429	-2690.3727133524385
9000	-2755.809328476473	-2689.680674222579	-66.12865425389403	9.941929739171434E13	0.7391306930045904	0.7137807730665607	6.32902738562085	246.69860247630976	-2689.680674222579
10000	-2745.224787134	-2681.0044095550625	-64.22037757893777	9.446232406240467E13	0.7391306930045904	0.7137807730665607	6.32902738562085	246.61700260679322	-2681.0044095550625
11000	-2749.0959186813893	-2687.706178769855	-61.389739911534484	1.0636201995108278E14	0.7391306930045904	0.7137807730665607	6.32902738562085	246.90574531480544	-2687.706178769855
12000	-2750.2269352090802	-2688.3007496542737	-61.92618555480671	1.2490086533224286E14	0.7391306930045904	0.7137807730665607	6.32902738562085	247.0741454206774	-2688.3007496542737
13000	-2748.6767052179885	-2688.4506179855216	-60.22608723246682	9.575874429592722E13	0.7391306930045904	0.7137807730665607	6.32902738562085	247.16731642797498	-2688.4506179855216
14000	-2746.7353215285457	-2684.4864042413938	-62.24891728715197	9.575874429592722E13	0.7391306930045904	0.7137807730665607	6.32902738562085	247.27607948248396	-2684.4864042413938
