Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-3190.7180674772735	-3036.7744522050575	-153.94361527221588	1925.9600022381885	0.42720496703220034	0.8147246926514751	8.841308501601032	270.38117928318667	-3036.7744522050575
1000	-3190.412565291213	-3035.1840985035064	-155.22846678770676	2461.5558527016533	0.41822267617050096	0.7975945215946095	8.82176841246781	277.24608696234174	-3035.1840985035064
2000	-3186.7164914542536	-3036.8500624989038	-149.86642895535007	3384.559860185595	0.41822267617050096	0.7975945215946095	8.987372684155941	285.21231803559505	-3036.8500624989038
3000	-3186.7724269456803	-3033.2226727886045	-153.54975415707554	3533.277743553102	0.4181639451727159	0.7974825154200278	9.146396232591336	286.2197161592591	-3033.2226727886045
4000	-3189.560658296528	-3034.0052490193484	-155.55540927717954	3533.277743553102	0.4168048123337527	0.7948905065017108	9.176221146100083	283.61411709810505	-3034.0052490193484
5000	-3180.009501085233	-3024.983155628719	-155.02634545651387	3533.277743553102	0.41930799512858596	0.7996643387147087	9.121440986500552	282.99290907524403	-3024.983155628719
6000	-3201.827796979747	-3045.777480630716	-156.05031634903062	3533.277743553102	0.41930799512858596	0.7996643387147087	9.121440986500552	280.1465827498151	-3045.777480630716
7000	-3196.836099626124	-3043.963890955335	-152.87220867078875	3533.277743553102	0.4188870917668877	0.7988616318445665	9.130606332605051	284.5373082636292	-3043.963890955335
8000	-3182.7524011932464	-3031.578706469625	-151.17369472362125	4589.328552142939	0.41184982086456184	0.7854408179134156	9.286620848114975	295.6384094278409	-3031.578706469625
9000	-3186.1013154975926	-3034.868115499075	-151.2331999985176	3489.2265416653536	0.41969988833260374	0.8004117201705322	9.11292387502916	285.16649947529123	-3034.868115499075
10000	-3184.6853333844883	-3032.65926904004	-152.02606434444868	3489.2265416653536	0.41969988833260374	0.8004117201705322	9.11292387502916	285.31129617295113	-3032.65926904004
11000	-3184.146606207361	-3038.156307533598	-145.99029867376274	4925.40355529621	0.4195760710371637	0.8001755875977461	9.115613107484595	293.4662982067281	-3038.156307533598
12000	-3182.8109857013537	-3035.5591394265934	-147.25184627476045	4588.491086005033	0.42235501525700675	0.8054753257799488	9.064293737603215	292.4391626626708	-3035.5591394265934
13000	-3178.543847147702	-3028.660972119489	-149.88287502821285	3595.835363567783	0.42235501525700675	0.8054753257799488	8.788744324555356	289.28686286965916	-3028.660972119489
14000	-3175.4347824109377	-3025.6517782333153	-149.7830041776226	3595.835363567783	0.42262748410105855	0.8059949524518234	9.151121013316523	289.3193710273774	-3025.6517782333153
15000	-3187.0867738521683	-3034.586929148118	-152.49984470405047	2819.150246584148	0.42068760674128014	0.8022954028030762	8.885036129103518	283.53569935537104	-3034.586929148118
16000	-3185.9063474548516	-3033.1705864603523	-152.73576099449937	4452.992462044489	0.4185717994940763	0.798260336401196	8.929948432933704	288.30271447193013	-3033.1705864603523
17000	-3181.7655567020347	-3028.6986713925576	-153.06688530947704	3999.0836422563943	0.41585510970702655	0.7930793239537994	8.988285818095866	287.9770619851485	-3028.6986713925576
18000	-3178.671642156115	-3027.858478525357	-150.81316363075805	3530.377684658288	0.422774473870764	0.8062752773641905	8.841178491076464	282.1206615654522	-3027.858478525357
19000	-3184.418453652046	-3035.6319933794175	-148.78646027262874	2429.268148221197	0.4246210550187968	0.8097969013488986	9.111583487500466	283.59086757447886	-3035.6319933794175
20000	-3187.3750701589406	-3035.7239821865433	-151.65108797239714	2737.8011807751723	0.4260353594424643	0.8124941282676139	8.699713609581885	279.46223584589967	-3035.7239821865433
21000	-3187.0670599141254	-3037.193423497692	-149.87363641643316	2769.990521207427	0.4170589349035273	0.7953751449037257	8.978076212422293	283.62252267173795	-3037.193423497692
22000	-3187.1480107092643	-3032.5455016086535	-154.6025091006108	2769.990521207427	0.4156189875495237	0.7926290142265127	8.94718760046561	272.9992352062727	-3032.5455016086535
23000	-3178.305066632458	-3024.611980215385	-153.69308641707303	2237.6139226723717	0.41927897128838426	0.7996089872063861	8.869085517202016	274.1244033615069	-3024.611980215385
24000	-3186.163183676331	-3033.787033183908	-152.3761504924226	2888.6625971876288	0.41775226684605965	0.7966974016595616	8.935850703223847	280.62103411474584	-3033.787033183908
25000	-3188.921880199004	-3037.287632749581	-151.63424744942301	3240.7614203922694	0.4172349140182853	0.7957107555385461	9.07564677063038	283.20875686817647	-3037.287632749581
26000	-3184.4498454087493	-3031.8649433715186	-152.58490203723065	1895.5594241684644	0.41773560750181615	0.7966656305422618	8.634172117984253	269.8250163340884	-3031.8649433715186
27000	-3187.255046665823	-3037.3885929636103	-149.86645370221285	2334.4572116983095	0.4060478278609994	0.7743758085352886	8.984908342458382	277.76055509675695	-3037.3885929636103
28000	-3177.1021220555563	-3022.2366420999683	-154.86547995558814	4336.75988883837	0.39994806835314073	0.7627429271930792	9.041126175300239	279.18637807886256	-3022.2366420999683
29000	-3186.4093979882073	-3033.2914834117178	-153.11791457648948	3646.1900452296054	0.3976819107485889	0.7584211268856191	9.043045072025174	278.221417931713	-3033.2914834117178
30000	-3184.7052942376895	-3031.7002091943614	-153.005085043328	3288.89149848478	0.41212396753346575	0.7859636443733125	8.981863237123662	278.254160111197	-3031.7002091943614
31000	-3185.8102924723908	-3029.9828706740295	-155.8274217983613	3032.933177210654	0.40963681706456284	0.781220387487907	9.036397508534897	274.27645835064476	-3029.9828706740295
32000	-3178.634108809635	-3027.981478942613	-150.65262986702177	3765.581603577518	0.39040598751184374	0.7445451779143465	8.973418509875644	282.56636309514056	-3027.981478942613
33000	-3185.624408276165	-3033.9736017704836	-151.65080650568166	2082.194909169335	0.39040598751184374	0.7445451779143465	9.093558889238684	273.5752033855206	-3033.9736017704836
34000	-3179.081070732254	-3027.158694979465	-151.92237575278895	4674.374067204793	0.38759613531944503	0.7391864949857477	8.930509932509272	286.29465618685873	-3027.158694979465
35000	-3186.1504345348967	-3035.909290296435	-150.24114423846174	4215.210583221841	0.38209422999971626	0.7286937843046107	8.98245651394117	292.0298427196746	-3035.909290296435
36000	-3185.779040643551	-3032.8018617899124	-152.97717885363855	3100.6611682227567	0.38008288870425877	0.7248579454328326	8.880743037836952	281.5775696764918	-3032.8018617899124
37000	-3185.5816543720975	-3026.2544036763156	-159.32725069578177	2986.1931186676056	0.3857739241799633	0.7357113471641438	8.86982322795146	273.5039340157512	-3026.2544036763156
38000	-3187.0684029905383	-3031.35650800419	-155.71189498634837	2371.568268769593	0.3841634717932254	0.7326400455008465	8.671737520110582	267.10199243253356	-3031.35650800419
39000	-3187.37121460273	-3034.2971863343523	-153.0740282683778	2159.2283774580187	0.3947131310108728	0.7527593524541005	8.691079228464426	273.99444554478976	-3034.2971863343523
40000	-3182.163929570817	-3031.349674550141	-150.81425502067583	2641.589305005987	0.39947191038222585	0.7618348439860835	8.550069512317334	272.54064448727	-3031.349674550141
41000	-3182.6676187087355	-3029.9913135497577	-152.67630515897798	2173.568075030436	0.39662127799659797	0.7563983889505127	8.737902276753788	271.1149657951175	-3029.9913135497577
42000	-3179.027548490362	-3027.5441379179842	-151.48341057237766	2889.7114194921523	0.39913947297888297	0.7612008509799957	8.887626275039851	277.89952889643484	-3027.5441379179842
43000	-3181.4907190077065	-3027.4320863989246	-154.05863260878203	3484.015058477498	0.4068800413978073	0.7759629270622723	9.131945287048328	278.54685666091956	-3027.4320863989246
44000	-3177.8727800159854	-3029.2899694879543	-148.5828105280312	3668.651958178798	0.41004276788789457	0.7604238780807635	8.76543713407373	274.58155442312324	-3029.2899694879543
45000	-3179.9693811212214	-3032.814767383504	-147.15461373771714	2814.641673093326	0.4107088993046027	0.7616592180864262	8.760572230517452	274.1938966280863	-3032.814767383504
46000	-3189.6005375270106	-3042.452349041971	-147.14818848503975	2348.195569656595	0.4247360563122233	0.7802212544996381	8.459472557085885	267.9039961611775	-3042.452349041971
47000	-3182.218129938454	-3029.598885645514	-152.6192442929397	3565.7791521451572	0.4115512278822286	0.7560013107836968	8.580957321057994	268.7317545097826	-3029.598885645514
48000	-3180.5605012989404	-3030.5213235474052	-150.03917775153525	4167.767263045417	0.3920377023567968	0.7201558318353043	8.7429112202031	278.305929467378	-3030.5213235474052
49000	-3179.659681802547	-3029.128016824522	-150.53166497802485	6894.967421309123	0.377272134628176	0.693032140296964	8.8561142210563	283.8939645503485	-3029.128016824522
50000	-3186.4104837642367	-3034.2904400574853	-152.1200437067512	3013.674876867224	0.3695713931312486	0.6788862204909624	8.72484517206537	267.884721236837	-3034.2904400574853
51000	-3189.6034443806125	-3033.9701715597416	-155.6332728208708	2552.1232609259487	0.3671006057683339	0.6662590753123449	8.349268637345592	254.47347601376475	-3033.9701715597416
52000	-3206.3574856623213	-3045.39903490478	-160.9584507575416	2001.7972578068736	0.35260642948216125	0.6709636645358046	8.934673286998436	264.25684613638464	-3045.39903490478
53000	-3207.6772992220444	-3046.2910338118827	-161.38626541016157	3348.614305281373	0.361492463683357	0.6878726190309934	9.197126962549186	268.080243277928	-3046.2910338118827
54000	-3196.3503637202984	-3038.30586959701	-158.04449412328876	2084.3261991976524	0.3601395908190757	0.6852982798846475	8.96390756228	268.31386481155846	-3038.30586959701
55000	-3205.524541271264	-3045.2195934585034	-160.30494781276062	2431.8335051531294	0.3493975617413955	0.664857611218749	8.97126473618188	268.8477264935092	-3045.2195934585034
56000	-3195.653985172328	-3034.677265310764	-160.97671986156365	2661.155742537917	0.3627416528795989	0.690249661792352	9.262270102048483	263.9745769091047	-3034.677265310764
57000	-3188.519773276925	-3033.4396822713775	-155.08009100554762	1920.8248970952422	0.3710095396986755	0.7059823631110486	8.69767356781469	265.9847256851849	-3033.4396822713775
58000	-3192.0100046226758	-3034.848385601553	-157.16161902112233	1661.6166152805831	0.3760539153612427	0.7142657278547017	8.85707379355001	262.57718043223366	-3034.848385601553
59000	-3183.9323577150253	-3029.353726462949	-154.5786312520761	2166.2828246895824	0.37526065030023903	0.7127590235683358	8.779439480604031	264.80882080098513	-3029.353726462949
60000	-3185.3405711556316	-3029.990042955004	-155.35052820062768	2166.2828246895824	0.3847626992061848	0.7308069353189596	8.853018554621736	264.63206352309146	-3029.990042955004
