Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-3415.343833330041	-3280.082565966376	-135.26126736366487	7746.254792086343	0.4251198121112142	0.8242268402410994	9.554098337453858	327.55159315765815	-3280.082565966376
1000	-3416.016045911325	-3282.0006330180413	-134.01541289328352	7746.254792086343	0.4220856620570555	0.8183441976525616	9.276025953018069	330.56455171126856	-3282.0006330180413
2000	-3422.4395513249506	-3285.5511083149568	-136.88844300999398	5991.11413526488	0.4277789914027122	0.8293824855030346	9.260870471088113	322.2460759045514	-3285.5511083149568
3000	-3416.699587571147	-3280.156156189954	-136.54343138119273	5991.11413526488	0.42553915503033096	0.8250398667793937	9.309615302852363	323.55081875044624	-3280.156156189954
4000	-3428.3041128938444	-3290.4711536235295	-137.83295927031497	5991.11413526488	0.42553915503033096	0.8250398667793937	9.309615302852363	321.8479179572607	-3290.4711536235295
5000	-3416.9783971792126	-3282.4807050878903	-134.4976920913223	5137.83466709381	0.4264859795824376	0.8268755803514569	9.28894739637619	323.871556452013	-3282.4807050878903
6000	-3415.331957750576	-3283.911836216311	-131.42012153426495	5137.83466709381	0.4312966055546965	0.8362024734572043	9.150288779168594	325.7050794605752	-3283.911836216311
7000	-3403.123713862322	-3271.4229048782477	-131.70080898407443	5137.83466709381	0.4303300667315516	0.8343285376455215	9.507713527173511	331.3274812512535	-3271.4229048782477
8000	-3412.479908328036	-3280.4629228273193	-132.01698550071663	7846.916991544132	0.42869550799445805	0.8311594376772741	9.54396516948329	334.3853076087875	-3280.4629228273193
9000	-3422.9779792721856	-3278.722691651639	-144.25528762054688	7846.916991544132	0.4310651309514378	0.835753688019771	9.49150071030445	322.720250595607	-3278.722691651639
10000	-3403.199535942241	-3269.502054440749	-133.69748150149184	5328.39675491602	0.4310651309514378	0.835753688019771	9.49150071030445	330.2348993084524	-3269.502054440749
11000	-3398.212575790564	-3265.271219496812	-132.94135629375188	3970.9460005539004	0.43432600567735935	0.8420759068277368	9.420239504729091	329.29559784316996	-3265.271219496812
12000	-3399.743671244397	-3265.0564168533724	-134.68725439102462	5016.610977290633	0.43404397023236924	0.8415290934893845	9.671783942633649	329.28805729451653	-3265.0564168533724
13000	-3408.682246211627	-3272.4009159146203	-136.28133029700666	5016.610977290633	0.4386889141792034	0.850534760511543	9.569376763360657	326.0893773535593	-3272.4009159146203
14000	-3413.56469728952	-3273.609671970434	-139.95502531908608	2965.266591041662	0.4386889141792034	0.850534760511543	9.421409461558925	315.7584396738071	-3273.609671970434
15000	-3416.4779557588217	-3277.964738797788	-138.5132169610336	4693.243037510457	0.43313812534687185	0.8397728317334004	9.675072266652856	326.39599435177695	-3277.964738797788
16000	-3419.3654453940867	-3279.2655731307746	-140.09987226331208	4752.5418882553295	0.43313812534687185	0.8397728317334004	9.675072266652856	327.2540230471867	-3279.2655731307746
17000	-3410.893235696985	-3270.8869700939217	-140.00626560306327	5619.15658527683	0.43529952297783403	0.8439633725859319	9.627032521207061	327.6886026312864	-3270.8869700939217
18000	-3412.5714916992833	-3273.5120419121113	-139.05944978717207	5277.745010011689	0.4329900000588228	0.8394856448400818	9.67838209567015	325.0971312335572	-3273.5120419121113
19000	-3414.9878379589622	-3276.8849706007304	-138.10286735823172	4628.721051940984	0.4255605365464019	0.8250813214915212	9.365302411083139	322.39486272231915	-3276.8849706007304
20000	-3417.665092749939	-3274.5854613784277	-143.07963137151123	3313.792887761835	0.4310432825198764	0.835711328046895	9.27955052167708	315.1735236577485	-3274.5854613784277
21000	-3416.0881368580413	-3277.1668926002867	-138.9212442577544	4737.626403789161	0.4289958777098768	0.8317417976952985	9.486084361894765	320.6984443321929	-3277.1668926002867
22000	-3407.983087733483	-3276.7300760449075	-131.25301168857553	4122.081415831632	0.4301080510343337	0.8338980912363245	9.391399828337379	327.23298043586	-3276.7300760449075
23000	-3420.384514651743	-3278.637057670653	-141.74745698108958	3863.3897675590138	0.43423726596182943	0.841903857317807	9.361015585878176	317.3588270080565	-3278.637057670653
24000	-3417.9689715226204	-3279.3948441399516	-138.574127382669	3843.413088557301	0.43423726596182943	0.841903857317807	9.361015585878176	317.8910012462077	-3279.3948441399516
25000	-3412.588166617919	-3272.725193597274	-139.86297302064486	2700.895837937804	0.43402405553367157	0.8442900830983348	9.36520096535874	314.85099585057594	-3272.725193597274
26000	-3406.138319001137	-3270.7249310068596	-135.4133879942773	3939.6569739023266	0.43745415326781417	0.8509625185637695	9.531566883587583	326.63658871676677	-3270.7249310068596
27000	-3405.5905017087666	-3265.1314516018747	-140.45905010689197	6510.962291913591	0.4370395170464366	0.8375507237183281	9.540609848176066	328.57570389077824	-3265.1314516018747
28000	-3413.8842513348955	-3269.4662359104664	-144.41801542442914	5093.079923318602	0.44115050062453987	0.8454290897166794	9.361627522595846	312.9640616726966	-3269.4662359104664
29000	-3404.4872015680603	-3270.32850726154	-134.15869430652018	5980.227438952107	0.4362672186543207	0.8360706766012742	9.466415287842134	326.1085018711414	-3270.32850726154
30000	-3407.3820952255514	-3270.134297084257	-137.24779814129457	4593.066074285169	0.4422756489905735	0.8475853451386847	9.337811560911081	318.22842222797664	-3270.134297084257
31000	-3415.4634341841743	-3272.329034493268	-143.13439969090646	3040.631741221135	0.4399685473673656	0.8431639723363616	9.16176855743759	312.1985126116792	-3272.329034493268
32000	-3412.568901730916	-3270.1802049830926	-142.3886967478234	2862.903210817479	0.441423601861143	0.8459524660463786	9.034286304385299	309.1918480190076	-3270.1802049830926
33000	-3416.3204721594016	-3275.646996755545	-140.6734754038568	2383.38676439661	0.43698359519063357	0.8374435540254911	8.893933858673138	307.8356932195863	-3275.646996755545
34000	-3414.75177242752	-3275.1835275191456	-139.5682449083742	2863.3529660945583	0.4429683621373676	0.8400301099386355	9.360416341647094	308.14064953828677	-3275.1835275191456
35000	-3418.566732668689	-3274.551915229854	-144.01481743883522	4325.54762103326	0.44030357837611755	0.8349767048035043	9.417066995175178	308.11415161779814	-3274.551915229854
36000	-3420.4289041033267	-3278.625263287647	-141.8036408156796	3817.6611552043155	0.4425290780438807	0.8391970665502417	9.013193900386886	307.94706369817607	-3278.625263287647
37000	-3428.557342508367	-3289.307496739245	-139.24984576912237	3240.2500336066646	0.4445080454133463	0.8429499128458913	9.005669964835851	309.42662406062624	-3289.307496739245
38000	-3418.8947840800997	-3279.521322779292	-139.37346130080797	4018.8348090024883	0.4373943766144734	0.8294597936997948	9.051963830816822	314.17777003254713	-3279.521322779292
39000	-3426.8613113949227	-3283.4458495888443	-143.4154618060782	4007.121565082545	0.43937603101374334	0.8332177355872178	9.202253118986382	309.36986947171874	-3283.4458495888443
40000	-3427.6950138979664	-3287.9892713513655	-139.70574254660087	4333.862374036945	0.4342325453725181	0.8234638046567592	9.157546736452877	306.9631159071618	-3287.9892713513655
