Sample	posterior	likelihood	prior	NInfinity	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-2459.5026017664304	-2307.688087865861	-151.8145139005696	1877.7708212707198	0.4499550364439323	0.6463172361007751	6.610744715448787	198.13403161852847	-2307.688087865861
1000	-2455.5297229940143	-2302.7756934592703	-152.7540295347438	1877.7708212707198	0.45888560789901817	0.659145145096457	6.579477131682745	196.2732228391971	-2302.7756934592703
2000	-2463.5528748010247	-2306.8945681989185	-156.65830660210628	2481.458684762234	0.44541974425100594	0.6398027240326191	7.148902074822663	204.9085488198491	-2306.8945681989185
3000	-2460.9437960912064	-2305.000609140141	-155.94318695106548	2317.819867056103	0.44541974425100594	0.6398027240326191	7.148902074822663	201.3146882962132	-2305.000609140141
4000	-2456.327285752109	-2309.7872245168696	-146.54006123523965	1892.3049300308219	0.45840291824173035	0.6584518077184423	6.800496685481013	200.82041152749468	-2309.7872245168696
5000	-2459.269497685236	-2310.9066309876494	-148.36286669758667	3793.362432291626	0.4504559689923937	0.6470367776415328	6.92047112416075	210.95486755459677	-2310.9066309876494
6000	-2467.555450753073	-2317.36459833624	-150.1908524168329	3793.362432291626	0.44919026719965777	0.6452187184619445	6.939971218771069	209.93586658215423	-2317.36459833624
7000	-2468.7786453458316	-2315.4416599577153	-153.33698538811615	2788.7231148488177	0.44919026719965777	0.6452187184619445	6.939971218771069	205.57618933021433	-2315.4416599577153
8000	-2468.658385945925	-2319.9698185023954	-148.68856744352956	2050.830489514192	0.46305363459337534	0.6651321155155047	6.7321953510961805	199.39387052797832	-2319.9698185023954
9000	-2460.694908617453	-2307.7182284752	-152.97668014225346	1878.975147703844	0.46359781352496954	0.6659137763360877	6.724292986661829	195.5096532010695	-2307.7182284752
10000	-2455.1471905649714	-2305.2911741921475	-149.85601637282403	1573.6653245599794	0.4744354136251951	0.6814809489987191	6.570688942247547	196.7584079606854	-2305.2911741921475
11000	-2455.8134968597737	-2304.666871981837	-151.1466248779364	1573.6653245599794	0.4804711029463822	0.6787246452477297	6.710943332113504	194.19677336500183	-2304.666871981837
12000	-2449.389299402871	-2300.8147847087653	-148.5745146941059	2393.654796214453	0.4658248714005148	0.6580350382157449	6.654353594987307	200.68647326079105	-2300.8147847087653
13000	-2449.8548602526803	-2300.703490355099	-149.15136989758142	2393.654796214453	0.45801233291686777	0.6469988648053551	6.861725183055468	201.0659978068396	-2300.703490355099
14000	-2466.3906720879977	-2314.913046168976	-151.47762591902142	2344.918035008056	0.45801233291686777	0.6469988648053551	6.861725183055468	198.7175541715585	-2314.913046168976
15000	-2456.4147595930845	-2311.15746598632	-145.25729360676442	3601.4699203382074	0.4527290975981871	0.6395356438219445	6.9417997994795595	211.8687433650009	-2311.15746598632
16000	-2460.447399100393	-2309.7722921596915	-150.67510694070126	3053.1558316133355	0.46042900263633546	0.6504127086098379	6.825709807442181	200.76863575715726	-2309.7722921596915
17000	-2460.1884724542124	-2308.350032095765	-151.8384403584472	1557.6568219719757	0.4509081311451566	0.6369633042946306	6.747585316129238	194.77578419088968	-2308.350032095765
18000	-2458.084777143655	-2303.808337704385	-154.2764394392703	1810.8684420249667	0.4460210204417532	0.630059658147936	6.84097174107135	193.5943760907043	-2303.808337704385
19000	-2468.6031714537494	-2314.9001771854887	-153.70299426826065	1105.8869241691468	0.4578540348840581	0.6467752493256659	6.568149117282525	186.4458484087457	-2314.9001771854887
20000	-2463.135238003938	-2314.4405658711107	-148.69467213282704	3825.924227987117	0.45086190555193134	0.6368980049474466	6.9013266256384584	207.35481063817105	-2314.4405658711107
21000	-2454.3335290386026	-2302.0157166814142	-152.31781235718822	4487.060589028456	0.42583001038383816	0.6015373681398292	7.027898186058103	208.08884337450098	-2302.0157166814142
22000	-2458.8950600514336	-2305.178858500218	-153.71620155121556	1469.1243444355543	0.4185479587594964	0.5912505727943898	6.394045147313358	191.5410394603783	-2305.178858500218
23000	-2453.6198033189285	-2301.858930840243	-151.76087247868549	1395.9904498593776	0.42733193730249575	0.6036590250070221	6.902892760932148	192.87085646832517	-2301.858930840243
24000	-2455.7965085394244	-2302.5418640135463	-153.25464452587835	1361.6319308509026	0.4232221826340948	0.5978534900596333	6.875795679165988	187.60039193073223	-2302.5418640135463
25000	-2461.0846690881476	-2305.089783149245	-155.99488593890297	2874.136634225985	0.40636940937849214	0.5740468709326849	7.33553325255809	201.18951589120175	-2305.089783149245
26000	-2466.445868907253	-2311.8414618562265	-154.6044070510264	1725.782157226648	0.38890005240074194	0.5493692513116093	7.244145883857871	197.44327041971508	-2311.8414618562265
27000	-2467.28903548058	-2313.37152356718	-153.91751191340032	1725.782157226648	0.4293943520454736	0.60657243999951	6.869831812981598	187.87283639274204	-2313.37152356718
28000	-2470.442160190364	-2317.2857873281887	-153.1563728621752	1190.8415708732693	0.43683146389215793	0.6300536799277976	6.963915401298496	193.08991520635269	-2317.2857873281887
29000	-2458.7966128866674	-2306.9168960198003	-151.87971686686683	1766.2986762567593	0.424496622216023	0.6122628085465772	7.005863140456797	194.37697397483421	-2306.9168960198003
30000	-2462.4528866043693	-2307.006354322785	-155.4465322815844	1403.190483177576	0.3914164766740795	0.5645504316826385	7.021270633988244	189.5377788000816	-2307.006354322785
31000	-2460.638302445187	-2307.046462059198	-153.591840385989	2373.0680121128894	0.38488117605677347	0.5551243931672796	7.444391789724908	209.2123442193927	-2307.046462059198
