Sample	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-25248.009689171686	-25067.037128979617	-180.97256019206768	1585.2075885814538	0.3502619774878352	0.9936244397420846	20.78341457530545	643.4830126553027	-25067.037128979617
1000	-25252.98148573705	-25072.772256090764	-180.20922964628727	1585.2075885814538	0.3502619774878352	0.9936244397420846	20.78341457530545	646.2033235979064	-25072.772256090764
2000	-25239.984877292954	-25061.349528054874	-178.6353492380805	1585.2075885814538	0.3502619774878352	0.9936244397420846	20.78341457530545	650.3477530208785	-25061.349528054874
3000	-25249.399269833193	-25070.408541927536	-178.99072790565657	1585.2075885814538	0.3502619774878352	0.9936244397420846	20.78341457530545	649.0021913581764	-25070.408541927536
4000	-25242.385606914417	-25063.449084339405	-178.93652257501304	2151.8636516692013	0.3502619774878352	0.9936244397420846	20.78341457530545	650.7448661546131	-25063.449084339405
5000	-25250.852287874503	-25074.16217824343	-176.6901096310719	1786.9045910061093	0.3502619774878352	0.9936244397420846	20.78341457530545	656.9327263766492	-25074.16217824343
6000	-25255.053598832168	-25078.41094147317	-176.6426573590007	1786.9045910061093	0.3502619774878352	0.9936244397420846	20.78341457530545	654.9928260090858	-25078.41094147317
7000	-25247.959230952107	-25069.608066643003	-178.35116430910426	2424.584462698906	0.3502619774878352	0.9936244397420846	20.78341457530545	656.025857315093	-25069.608066643003
8000	-25251.881483417812	-25074.68817325371	-177.1933101641018	2197.331894431724	0.3502619774878352	0.9936244397420846	20.78341457530545	655.8257786167983	-25074.68817325371
9000	-25254.699668856276	-25076.646981544283	-178.05268731199175	2197.331894431724	0.3502619774878352	0.9936244397420846	20.99622631880884	662.044999998333	-25076.646981544283
10000	-25251.21028738815	-25072.49918504515	-178.71110234299834	2197.331894431724	0.3502619774878352	0.9936244397420846	20.99622631880884	658.6696635431585	-25072.49918504515
11000	-25248.830920932913	-25071.82858090206	-177.00234003085163	2197.331894431724	0.3502619774878352	0.9936244397420846	20.99622631880884	661.647391431096	-25071.82858090206
12000	-25247.383639620497	-25069.204770511453	-178.17886910904386	2197.331894431724	0.3502619774878352	0.9936244397420846	20.99622631880884	659.3907080348329	-25069.204770511453
13000	-25251.46485727229	-25072.094170097895	-179.370687174397	2197.331894431724	0.3502619774878352	0.9936244397420846	20.99622631880884	658.907586177969	-25072.094170097895
14000	-25248.67173613291	-25070.33271166386	-178.33902446904938	2197.331894431724	0.3502619774878352	0.9936244397420846	20.99622631880884	659.811978379308	-25070.33271166386
15000	-25255.41388270633	-25074.83528307898	-180.5785996273497	2461.5514185653265	0.3502619774878352	0.9936244397420846	20.99622631880884	655.54675342615	-25074.83528307898
16000	-25246.70595789259	-25070.240813204386	-176.46514468820607	3269.020901126605	0.3502619774878352	0.9936244397420846	20.99622631880884	666.6695215823462	-25070.240813204386
17000	-25248.600321670143	-25066.36524168581	-182.23507998433448	4328.701563306215	0.3502619774878352	0.9936244397420846	20.99622631880884	665.0290511227246	-25066.36524168581
18000	-25252.454599202403	-25073.44637374073	-179.0082254616708	3272.4413737668306	0.3502619774878352	0.9936244397420846	20.833679102862636	662.7057120727237	-25073.44637374073
19000	-25244.221959160335	-25066.912611486052	-177.3093476742836	2522.8649001804456	0.3502619774878352	0.9936244397420846	20.833679102862636	660.2342253004136	-25066.912611486052
20000	-25245.01390003789	-25064.217929022092	-180.7959710157975	1963.8794893303616	0.3502619774878352	0.9936244397420846	21.109229701136535	658.7764594435838	-25064.217929022092
21000	-25241.108209825707	-25061.694579662184	-179.4136301635228	1127.8646508166116	0.3502619774878352	0.9936244397420846	20.601612535521564	642.3754004388089	-25061.694579662184
22000	-25245.32528786911	-25064.793995908858	-180.53129196025247	1731.7289830726672	0.3502619774878352	0.9936244397420846	20.997647109407946	651.0797140384565	-25064.793995908858
23000	-25252.092804198684	-25071.672684009976	-180.42012018870895	2325.9103991186075	0.3502619774878352	0.9936244397420846	20.997647109407946	656.2775890252753	-25071.672684009976
24000	-25248.15130070295	-25066.94388907818	-181.2074116247721	3113.9883857438012	0.3502619774878352	0.9936244397420846	20.997647109407946	659.6763779487341	-25066.94388907818
25000	-25244.91088451413	-25064.01001382608	-180.90087068805227	2444.061785276585	0.3502619774878352	0.9936244397420846	20.997647109407946	661.6877382805712	-25064.01001382608
26000	-25245.193075063507	-25064.275242561875	-180.91783250163317	2838.652812811478	0.3502619774878352	0.9936244397420846	20.997647109407946	660.9819683301272	-25064.275242561875
27000	-25248.07312952331	-25068.010229480373	-180.06290004293626	1092.2058392748256	0.3502619774878352	0.9936244397420846	20.556116917343058	649.2001589567957	-25068.010229480373
28000	-25246.377060396884	-25068.771611721055	-177.6054486758291	2613.9405013919177	0.3502619774878352	0.9936244397420846	20.999938990187676	661.833649596771	-25068.771611721055
29000	-25243.255147507618	-25062.891167649697	-180.36397985792215	3210.4365466816243	0.3502619774878352	0.9936244397420846	20.999938990187676	664.4303515991247	-25062.891167649697
30000	-25249.038379997208	-25068.977347100437	-180.06103289677174	2603.8071026803455	0.3502619774878352	0.9936244397420846	20.999938990187676	664.9860231525055	-25068.977347100437
31000	-25252.71527639951	-25071.472196475686	-181.24307992382495	2603.8071026803455	0.3502619774878352	0.9936244397420846	20.999938990187676	657.8469139547489	-25071.472196475686
32000	-25251.482376995118	-25075.679441777254	-175.80293521786407	1593.2478386773564	0.3502619774878352	0.9936244397420846	20.49540820433536	651.4431868891155	-25075.679441777254
