Sample	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	D.treeLikelihood
97000	-19844.354326835295	-19697.2765389176	-147.07778791769562	4986.277942890616	0.4194721793644706	0.9505914859493318	12.768808294625384	436.6849174666251	-19697.2765389176
98000	-19840.887670437623	-19699.35822723063	-141.52944320699385	4003.717753384735	0.4194721793644706	0.9505914859493318	12.733118483948013	439.6899318012315	-19699.35822723063
99000	-19845.034882329906	-19704.440123202436	-140.5947591274719	3906.247587327572	0.4194721793644706	0.9505914859493318	12.686702997181325	440.359400907681	-19704.440123202436
100000	-19840.2699006098	-19697.12688031459	-143.14302029521204	2981.1918826559863	0.4194721793644706	0.9505914859493318	12.443956677198889	436.50107081027693	-19697.12688031459
101000	-19844.62900832661	-19704.82103597493	-139.8079723516839	3869.190703181433	0.4194721793644706	0.9505914859493318	12.529734586461318	440.1320314662878	-19704.82103597493
102000	-19851.18728502101	-19707.156265656715	-144.03101936429482	6477.831515484377	0.4194721793644706	0.9505914859493318	12.578530363459624	440.04800004371504	-19707.156265656715
103000	-19852.82135679111	-19707.972039532466	-144.8493172586466	3754.3538578162083	0.4194721793644706	0.9505914859493318	12.589764746611081	435.7300651287163	-19707.972039532466
104000	-19845.782931633774	-19701.48294284256	-144.29998879121558	5181.44404136455	0.4194721793644706	0.9505914859493318	12.743331199126745	440.89611805088015	-19701.48294284256
105000	-19843.356879470924	-19700.90375591296	-142.45312355796426	6123.134989745022	0.4194721793644706	0.9505914859493318	12.696333896352519	443.92650142690246	-19700.90375591296
106000	-19855.90201959915	-19708.851795562096	-147.05022403705357	7700.829011212494	0.4194721793644706	0.9505914859493318	12.696333896352519	441.23197089640246	-19708.851795562096
107000	-19845.709088051015	-19699.469041796074	-146.24004625494274	4388.122414952279	0.4194721793644706	0.9505914859493318	12.705550168926091	441.3220425653423	-19699.469041796074
108000	-19856.43984332386	-19714.657920741716	-141.78192258214568	3608.004912415561	0.4194721793644706	0.9505914859493318	12.591128537917154	438.4146133550101	-19714.657920741716
109000	-19850.895491449555	-19706.473743701095	-144.42174774845807	4048.7756606193548	0.4194721793644706	0.9505914859493318	12.726196554025844	439.77899698527386	-19706.473743701095
110000	-19839.54932781357	-19695.121958544194	-144.42736926937684	5481.136552214748	0.4194721793644706	0.9505914859493318	12.726196554025844	440.53652390282906	-19695.121958544194
111000	-19844.490717707526	-19701.570245057603	-142.92047264992334	3492.8664217594933	0.4194721793644706	0.9505914859493318	12.58193057098955	435.66243221261027	-19701.570245057603
112000	-19843.850053655184	-19699.178290544172	-144.67176311100997	3118.594429748512	0.4194721793644706	0.9505914859493318	12.503175902528884	431.3414007441568	-19699.178290544172
