Sample	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	D.treeLikelihood
0	-22067.388307970472	-21912.85336159374	-154.53494637673003	2761.1480544468086	0.40604734008171367	0.9810120089901698	15.365595584861973	518.0028391629919	-21912.85336159374
1000	-22075.398539454884	-21918.436674618926	-156.96186483595721	2761.1480544468086	0.40604734008171367	0.9810120089901698	15.365595584861973	514.9859450482018	-21918.436674618926
2000	-22069.234921860265	-21915.17151640374	-154.06340545652301	2761.1480544468086	0.40604734008171367	0.9810120089901698	15.365595584861973	518.6268025384766	-21915.17151640374
3000	-22071.773231187137	-21917.185794695186	-154.58743649195097	2761.1480544468086	0.40604734008171367	0.9810120089901698	15.365595584861973	517.1701443189274	-21917.185794695186
4000	-22074.54591413722	-21919.47433863398	-155.07157550324123	2044.1205489737265	0.40604734008171367	0.9810120089901698	15.365595584861973	517.670216066908	-21919.47433863398
5000	-22078.900124584237	-21922.23681902025	-156.66330556398657	2044.1205489737265	0.40604734008171367	0.9810120089901698	15.365595584861973	514.8410493002292	-21922.23681902025
6000	-22075.781378304415	-21919.822050959745	-155.95932734467027	3348.8840310495098	0.40604734008171367	0.9810120089901698	15.365595584861973	519.3500025275171	-21919.822050959745
7000	-22084.678288338742	-21929.58838653239	-155.08990180635237	3486.13450617846	0.40604734008171367	0.9810120089901698	15.350005102527822	518.8781548607545	-21929.58838653239
8000	-22088.285704677943	-21931.784235361563	-156.5014693163786	1857.3533909942605	0.40604734008171367	0.9810120089901698	15.350005102527822	517.4922657607245	-21931.784235361563
9000	-22080.703191220484	-21924.05460177039	-156.6485894500949	1917.9409402609715	0.40604734008171367	0.9810120089901698	15.350005102527822	514.6632165588939	-21924.05460177039
10000	-22072.973897645308	-21917.650101796906	-155.32379584840206	2460.394583483714	0.40604734008171367	0.9810120089901698	15.350005102527822	515.2995975706608	-21917.650101796906
11000	-22076.803310908646	-21922.747370066594	-154.05594084205214	2180.1442297307003	0.40604734008171367	0.9810120089901698	15.350005102527822	519.1615962089805	-21922.747370066594
12000	-22076.8810027733	-21921.473939020136	-155.4070637531669	2180.1442297307003	0.40604734008171367	0.9810120089901698	15.350005102527822	516.7855949405184	-21921.473939020136
13000	-22076.276286495475	-21918.775881528116	-157.5004049673584	2724.2870399731355	0.40604734008171367	0.9810120089901698	15.350005102527822	512.3997859743512	-21918.775881528116
14000	-22071.63019605377	-21919.321650835667	-152.30854521810497	2724.2870399731355	0.40604734008171367	0.9810120089901698	15.473149391945404	523.3033143213725	-21919.321650835667
15000	-22080.2517286311	-21926.004493407887	-154.24723522321415	2638.1673140465527	0.40604734008171367	0.9810120089901698	15.473149391945404	521.4316343175894	-21926.004493407887
16000	-22074.716437493164	-21918.59106136614	-156.12537612702346	2505.4279892655977	0.40604734008171367	0.9810120089901698	15.469418376420899	520.1338518801984	-21918.59106136614
17000	-22074.751017676463	-21919.772667643025	-154.97835003343943	2776.6151237162358	0.40604734008171367	0.9810120089901698	15.469418376420899	520.4215169888454	-21919.772667643025
18000	-22074.489639359508	-21917.249424107722	-157.24021525178782	3173.136059840952	0.40604734008171367	0.9810120089901698	15.469418376420899	518.127149583682	-21917.249424107722
19000	-22083.37801015522	-21928.74323963222	-154.63477052300044	2612.5102814770567	0.40604734008171367	0.9810120089901698	15.469418376420899	521.3914456778919	-21928.74323963222
20000	-22082.31010861325	-21925.316929036006	-156.99317957724332	2612.5102814770567	0.40604734008171367	0.9810120089901698	15.335611525250366	514.387298721927	-21925.316929036006
21000	-22083.170307482418	-21923.18673198954	-159.98357549287823	2024.3320429320572	0.40604734008171367	0.9810120089901698	15.326944789299437	512.5908426369979	-21923.18673198954
22000	-22070.34860360768	-21916.378542272545	-153.97006133513275	2359.909119067039	0.40604734008171367	0.9810120089901698	15.364918989308116	520.0123244572306	-21916.378542272545
23000	-22080.52072849143	-21923.403699434115	-157.11702905731423	3842.3790193935924	0.40604734008171367	0.9810120089901698	15.364918989308116	520.9258045157412	-21923.403699434115
24000	-22086.940176788234	-21935.423830625525	-151.51634616270746	3022.450718839261	0.40604734008171367	0.9810120089901698	15.388126937118138	525.4745377789073	-21935.423830625525
25000	-22076.754070362316	-21922.329120524628	-154.42494983768762	3063.5042840006217	0.40604734008171367	0.9810120089901698	15.388126937118138	519.9068121874676	-21922.329120524628
26000	-22081.229340839058	-21925.181525301552	-156.0478155375057	3290.1613331812587	0.40604734008171367	0.9810120089901698	15.388126937118138	517.2566720244741	-21925.181525301552
27000	-22072.622623167226	-21917.95771500675	-154.66490816047758	3016.8535662686727	0.40604734008171367	0.9810120089901698	15.436431493973203	521.754119278083	-21917.95771500675
28000	-22073.436260984512	-21917.20314691676	-156.23311406775417	3396.6153434537414	0.40604734008171367	0.9810120089901698	15.44783342810879	518.7795616695305	-21917.20314691676
29000	-22084.794777300114	-21927.95050340701	-156.8442738931037	3161.5138033758403	0.40604734008171367	0.9810120089901698	15.44783342810879	519.4495564854552	-21927.95050340701
30000	-22066.306177765593	-21909.502989899716	-156.80318786587782	2986.539297366986	0.40604734008171367	0.9810120089901698	15.368629725533552	517.9894505886173	-21909.502989899716
31000	-22086.158138030933	-21935.280644944356	-150.8774930865767	2986.539297366986	0.40604734008171367	0.9810120089901698	15.368629725533552	525.4411433943624	-21935.280644944356
